id_x,movie,production_budget,domestic_gross,worldwide_gross,total_gross,net_revenue,original_language,popularity,release_date_y,vote_average,vote_count,start_year,runtime_minutes,genres,imdb_averagerating,imdb_numvotes
1,Avatar,425000000,760507625,2776345279,3536852904,3111852904,en,26.526,2009-12-18,7.4,18676,2011,93.0,Horror,6.1,43
2,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,1045663875,1286727750,876127750,en,30.579,2011-05-20,6.4,8571,2011,136.0,"Action,Adventure,Fantasy",6.6,447624
4,Avengers: Age of Ultron,330600000,459005868,1403013963,1862019831,1531419831,en,44.383,2015-05-01,7.3,13457,2015,141.0,"Action,Adventure,Sci-Fi",7.3,665594
7,Avengers: Infinity War,300000000,678815482,2048134200,2726949682,2426949682,en,80.773,2018-04-27,8.3,13948,2018,149.0,"Action,Adventure,Sci-Fi",8.5,670926
9,Justice League,300000000,229024295,655945209,884969504,584969504,en,34.953,2017-11-17,6.2,7510,2017,120.0,"Action,Adventure,Fantasy",6.5,329135
10,Spectre,300000000,200074175,879620923,1079695098,779695098,en,30.318,2015-11-06,6.4,6719,2015,148.0,"Action,Adventure,Thriller",6.8,352504
11,The Dark Knight Rises,275000000,448139099,1084439099,1532578198,1257578198,en,26.22,2012-07-20,7.7,13933,2012,164.0,"Action,Thriller",8.4,1387769
12,Solo: A Star Wars Story,275000000,213767512,393151347,606918859,331918859,en,29.502,2018-05-25,6.6,3838,2018,135.0,"Action,Adventure,Fantasy",7.0,226243
13,The Lone Ranger,275000000,89302115,260002115,349304230,74304230,en,12.482,2013-07-03,6.0,3789,2013,150.0,"Action,Adventure,Western",6.4,208827
14,John Carter,275000000,73058679,282778100,355836779,80836779,en,18.549,2012-03-09,6.1,3338,2012,132.0,"Action,Adventure,Sci-Fi",6.6,241792
15,Tangled,260000000,200821936,586477240,787299176,527299176,en,21.511,2010-11-24,7.5,6407,2010,100.0,"Adventure,Animation,Comedy",7.8,366366
17,Captain America: Civil War,250000000,408084349,1140069413,1548153762,1298153762,en,39.137,2016-05-06,7.4,14000,2016,147.0,"Action,Adventure,Sci-Fi",7.8,583507
18,Batman v Superman: Dawn of Justice,250000000,330360194,867500281,1197860475,947860475,en,28.088,2016-03-25,5.8,11991,2016,151.0,"Action,Adventure,Fantasy",6.5,576909
19,The Hobbit: An Unexpected Journey,250000000,303003568,1017003568,1320007136,1070007136,en,26.939,2012-12-14,7.2,12076,2012,169.0,"Adventure,Family,Fantasy",7.9,719629
21,The Hobbit: The Desolation of Smaug,250000000,258366855,960366855,1218733710,968733710,en,21.275,2013-12-13,7.6,7739,2013,161.0,"Adventure,Fantasy",7.8,565563
22,The Hobbit: The Battle of the Five Armies,250000000,255119788,945577621,1200697409,950697409,en,53.783,2014-12-17,7.3,8392,2014,144.0,"Adventure,Fantasy",7.4,438621
23,The Fate of the Furious,250000000,225764765,1234846267,1460611032,1210611032,en,28.668,2017-04-14,6.9,6335,2017,136.0,"Action,Crime,Thriller",6.7,179774
25,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,788241137,960800013,730800013,en,28.101,2017-05-26,6.6,6931,2017,129.0,"Action,Adventure,Fantasy",6.6,228592
