movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
The Legend of Hercules,99.0,"Action,Adventure,Fantasy",4.2,50352,70000000,18848538,58953319,-11046681,-0.15780972857142858
21 Jump Street,109.0,"Action,Comedy,Crime",7.2,477771,42000000,138447667,202812429,160812429,3.8288673571428573
Reign of Assassins,117.0,"Action,Adventure",6.9,6990,14000000,0,11354230,-2645770,-0.18898357142857142
The Revenant,156.0,"Action,Adventure,Biography",8.0,621193,135000000,183637894,532938302,397938302,2.947691125925926
Machete,105.0,"Action,Crime,Thriller",6.6,182320,12500000,26593646,46370970,33870970,2.7096776
Iron Man 2,124.0,"Action,Adventure,Sci-Fi",7.0,657690,170000000,312433331,621156389,451156389,2.653861111764706
Central Intelligence,107.0,"Action,Comedy,Crime",6.3,138872,50000000,127440871,217194805,167194805,3.3438961
The Host,125.0,"Action,Adventure,Drama",5.9,105633,50000000,26623701,64477051,14477051,0.28954102
The Commuter,105.0,"Action,Mystery,Thriller",6.3,83114,40000000,36343858,101985431,61985431,1.549635775
The Grey,117.0,"Action,Adventure,Drama",6.8,228798,25000000,51580136,81249176,56249176,2.24996704
Abraham Lincoln: Vampire Hunter,105.0,"Action,Fantasy,Horror",5.9,142853,67500000,37519139,137489730,69989730,1.0368848888888889
The Last Witch Hunter,106.0,"Action,Adventure,Fantasy",6.0,86118,80000000,27367660,130818912,50818912,0.6352364
Resident Evil: Retribution,95.0,"Action,Horror,Sci-Fi",5.4,125191,65000000,42345531,240647629,175647629,2.7022712153846156
The Croods,98.0,"Action,Adventure,Animation",7.2,176699,135000000,187168425,573068425,438068425,3.2449512962962963
The Bounty Hunter,110.0,"Action,Comedy,Romance",5.6,112444,45000000,67061228,135808837,90808837,2.0179741555555557
The Karate Kid,140.0,"Action,Drama,Family",6.2,146401,40000000,176591618,351774938,311774938,7.79437345
Legend of the Guardians: The Owls of Ga'Hoole,97.0,"Action,Adventure,Animation",7.0,73790,100000000,55675313,139716717,39716717,0.39716717
The Expendables,103.0,"Action,Adventure,Thriller",6.5,307897,82000000,103068524,268268174,186268174,2.2715630975609757
Pride and Prejudice and Zombies,108.0,"Action,Comedy,Horror",5.8,46187,28000000,10907291,16638300,-11361700,-0.405775
Men in Black 3,106.0,"Action,Adventure,Comedy",6.8,309879,215000000,179020854,654213485,439213485,2.042853418604651
Sherlock Holmes: A Game of Shadows,129.0,"Action,Adventure,Crime",7.5,394189,125000000,186848418,535663443,410663443,3.285307544
The Book of Eli,118.0,"Action,Adventure,Drama",6.9,271307,80000000,94835059,158750817,78750817,0.9843852125
Escape Plan,115.0,"Action,Crime,Mystery",6.7,211587,70000000,25135965,103735965,33735965,0.48194235714285716
Wild Target,98.0,"Action,Comedy,Crime",6.8,33915,8000000,109338,5314194,-2685806,-0.33572575
Hercules,98.0,"Action,Adventure,Fantasy",6.0,137287,100000000,72688614,243388614,143388614,1.43388614
Venom,112.0,"Action,Sci-Fi,Thriller",6.7,275406,116000000,213511408,853628605,737628605,6.358867284482758
The Watch,102.0,"Action,Comedy,Horror",5.7,115757,55000000,34353000,67130045,12130045,0.22054627272727273
Pirates of the Caribbean: On Stranger Tides,136.0,"Action,Adventure,Fantasy",6.6,447624,410600000,241063875,1045663875,635063875,1.5466728567949342
12 Strong,130.0,"Action,Drama,History",6.6,50155,35000000,45819713,71118378,36118378,1.0319536571428571
Act of Valor,110.0,"Action,Adventure,Drama",6.5,63787,12000000,70012847,82497035,70497035,5.874752916666667
A Walk Among the Tombstones,114.0,"Action,Crime,Drama",6.5,105116,28000000,26017685,62108587,34108587,1.2181638214285715
Jack Reacher,130.0,"Action,Crime,Thriller",7.0,284547,60000000,80070736,217370736,157370736,2.6228456
Dracula Untold,92.0,"Action,Drama,Fantasy",6.3,164829,70000000,55991880,220241723,150241723,2.1463103285714284
The Amazing Spider-Man,136.0,"Action,Adventure,Sci-Fi",7.0,525632,220000000,262030663,757890267,537890267,2.444955759090909
Admiral,151.0,"Action,Adventure,Biography",7.0,7978,20000000,0,38585047,18585047,0.92925235
Hell or High Water,102.0,"Action,Crime,Drama",7.6,176469,12000000,27007844,37584304,25584304,2.1320253333333334
Captive,97.0,"Action,Crime,Drama",5.4,6017,2000000,2583301,2791973,791973,0.3959865
Godzilla: King of the Monsters,132.0,"Action,Adventure,Fantasy",6.7,36479,170000000,85576941,299276941,129276941,0.7604525941176471
The Equalizer 2,121.0,"Action,Crime,Thriller",6.7,97963,77000000,102084362,190453132,113453132,1.4734172987012988
Only the Brave,134.0,"Action,Biography,Drama",7.7,45482,38000000,18340051,24555177,-13444823,-0.3538111315789474
Kites,123.0,"Action,Drama,Romance",6.1,11353,9200000,1685269,17155193,7955193,0.8646948913043478
Ghost in the Shell,107.0,"Action,Drama,Sci-Fi",6.4,176499,110000000,40563557,167910690,57910690,0.5264608181818182
Immortals,110.0,"Action,Drama,Fantasy",6.0,152992,75000000,83504017,211562435,136562435,1.8208324666666666
The Spy Next Door,94.0,"Action,Comedy,Family",5.5,36767,28000000,24307106,46752858,18752858,0.6697449285714285
Oldboy,104.0,"Action,Drama,Mystery",5.8,63231,3000000,707391,6239723,3239723,1.0799076666666667
Mad Max: Fury Road,120.0,"Action,Adventure,Sci-Fi",8.1,780910,150000000,153636354,370098020,220098020,1.4673201333333334
The Lego Movie,100.0,"Action,Adventure,Animation",7.8,304179,60000000,257784718,457729388,397729388,6.628823133333333
