movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
The Legend of Hercules,99.0,"Action,Adventure,Fantasy",4.2,50352,70000000,18848538,58953319,-11046681,-0.15780972857142858
The Adventurer: The Curse of the Midas Box,100.0,"Adventure,Family,Fantasy",5.4,5257,25000000,0,0,-25000000,-1.0
Reign of Assassins,117.0,"Action,Adventure",6.9,6990,14000000,0,11354230,-2645770,-0.18898357142857142
The Revenant,156.0,"Action,Adventure,Biography",8.0,621193,135000000,183637894,532938302,397938302,2.947691125925926
Letters to Juliet,105.0,"Adventure,Comedy,Drama",6.6,86137,30000000,53032453,82148538,52148538,1.7382846
Iron Man 2,124.0,"Action,Adventure,Sci-Fi",7.0,657690,170000000,312433331,621156389,451156389,2.653861111764706
The Host,125.0,"Action,Adventure,Drama",5.9,105633,50000000,26623701,64477051,14477051,0.28954102
The Grey,117.0,"Action,Adventure,Drama",6.8,228798,25000000,51580136,81249176,56249176,2.24996704
The Last Witch Hunter,106.0,"Action,Adventure,Fantasy",6.0,86118,80000000,27367660,130818912,50818912,0.6352364
The Last Days on Mars,98.0,"Adventure,Horror,Sci-Fi",5.5,33137,10600000,24084,261364,-10338636,-0.9753430188679245
The Croods,98.0,"Action,Adventure,Animation",7.2,176699,135000000,187168425,573068425,438068425,3.2449512962962963
Legend of the Guardians: The Owls of Ga'Hoole,97.0,"Action,Adventure,Animation",7.0,73790,100000000,55675313,139716717,39716717,0.39716717
The Expendables,103.0,"Action,Adventure,Thriller",6.5,307897,82000000,103068524,268268174,186268174,2.2715630975609757
Men in Black 3,106.0,"Action,Adventure,Comedy",6.8,309879,215000000,179020854,654213485,439213485,2.042853418604651
Sherlock Holmes: A Game of Shadows,129.0,"Action,Adventure,Crime",7.5,394189,125000000,186848418,535663443,410663443,3.285307544
The Book of Eli,118.0,"Action,Adventure,Drama",6.9,271307,80000000,94835059,158750817,78750817,0.9843852125
Hercules,98.0,"Action,Adventure,Fantasy",6.0,137287,100000000,72688614,243388614,143388614,1.43388614
Pirates of the Caribbean: On Stranger Tides,136.0,"Action,Adventure,Fantasy",6.6,447624,410600000,241063875,1045663875,635063875,1.5466728567949342
Jack the Giant Slayer,114.0,"Adventure,Fantasy",6.3,123127,195000000,65187603,197687603,2687603,0.013782579487179487
Act of Valor,110.0,"Action,Adventure,Drama",6.5,63787,12000000,70012847,82497035,70497035,5.874752916666667
Norm of the North,90.0,"Adventure,Animation,Comedy",3.6,7951,18000000,17062499,30535660,12535660,0.6964255555555555
Trolls,92.0,"Adventure,Animation,Comedy",6.5,63295,125000000,153707064,344150134,219150134,1.753201072
The Hobbit: An Unexpected Journey,169.0,"Adventure,Family,Fantasy",7.9,719629,250000000,303003568,1017003568,767003568,3.068014272
The Amazing Spider-Man,136.0,"Action,Adventure,Sci-Fi",7.0,525632,220000000,262030663,757890267,537890267,2.444955759090909
Admiral,151.0,"Action,Adventure,Biography",7.0,7978,20000000,0,38585047,18585047,0.92925235
Night at the Museum: Secret of the Tomb,98.0,"Adventure,Comedy,Family",6.2,93103,127000000,113746621,353756621,226756621,1.7854852047244094
Godzilla: King of the Monsters,132.0,"Action,Adventure,Fantasy",6.7,36479,170000000,85576941,299276941,129276941,0.7604525941176471
The Twilight Saga: Eclipse,124.0,"Adventure,Drama,Fantasy",5.0,211733,68000000,300531751,706102828,638102828,9.383865117647058
Mad Max: Fury Road,120.0,"Action,Adventure,Sci-Fi",8.1,780910,150000000,153636354,370098020,220098020,1.4673201333333334
A Lonely Place to Die,99.0,"Adventure,Crime,Thriller",6.3,25547,4000000,0,442550,-3557450,-0.8893625
The Lego Movie,100.0,"Action,Adventure,Animation",7.8,304179,60000000,257784718,457729388,397729388,6.628823133333333
The Kid Who Would Be King,120.0,"Action,Adventure,Family",6.0,8044,59000000,16790790,28348446,-30651554,-0.5195178644067796
Paul,104.0,"Adventure,Comedy,Sci-Fi",7.0,220567,40000000,37412945,101162106,61162106,1.52905265
A Walk in the Woods,104.0,"Adventure,Biography,Comedy",6.3,22033,8000000,29499394,37119358,29119358,3.63991975
Due Date,95.0,"Adventure,Comedy",6.5,303523,65000000,100539043,211739043,146739043,2.2575237384615385
