movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
The Croods,98.0,"Action,Adventure,Animation",7.2,176699,135000000,187168425,573068425,438068425,3.2449512962962963
Legend of the Guardians: The Owls of Ga'Hoole,97.0,"Action,Adventure,Animation",7.0,73790,100000000,55675313,139716717,39716717,0.39716717
Despicable Me,95.0,"Animation,Comedy,Family",7.7,464511,69000000,251513985,543464573,474464573,6.87629815942029
Norm of the North,90.0,"Adventure,Animation,Comedy",3.6,7951,18000000,17062499,30535660,12535660,0.6964255555555555
Trolls,92.0,"Adventure,Animation,Comedy",6.5,63295,125000000,153707064,344150134,219150134,1.753201072
The Lego Movie,100.0,"Action,Adventure,Animation",7.8,304179,60000000,257784718,457729388,397729388,6.628823133333333
Mars Needs Moms,88.0,"Adventure,Animation,Family",5.4,19823,150000000,21392758,39549758,-110450242,-0.7363349466666667
Cars 3,102.0,"Adventure,Animation,Comedy",6.8,59408,175000000,152901115,383541369,208541369,1.1916649657142857
Brave,93.0,"Adventure,Animation,Comedy",7.1,338728,185000000,237282182,554606532,369606532,1.997873145945946
Alvin and the Chipmunks: Chipwrecked,87.0,"Adventure,Animation,Comedy",4.4,28158,80000000,133107389,349088523,269088523,3.3636065375
Happy Feet Two,100.0,"Adventure,Animation,Comedy",5.9,38396,135000000,64006466,157956466,22956466,0.1700478962962963
The Boss Baby,97.0,"Adventure,Animation,Comedy",6.3,93730,125000000,175003033,510878762,385878762,3.087030096
Tangled,100.0,"Adventure,Animation,Comedy",7.8,366366,260000000,200821936,586477240,326477240,1.2556816923076923
The Smurfs,103.0,"Adventure,Animation,Comedy",5.5,77577,110000000,142614158,563749323,453749323,4.124993845454545
Shrek Forever After,93.0,"Adventure,Animation,Comedy",6.3,167532,165000000,238736787,756244673,591244673,3.5833010484848486
How to Train Your Dragon,98.0,"Action,Adventure,Animation",8.1,611299,165000000,217581232,494870992,329870992,1.9992181333333334
Ferdinand,108.0,"Adventure,Animation,Comedy",6.7,40229,111000000,84410380,289847930,178847930,1.6112426126126127
Puss in Boots,90.0,"Action,Adventure,Animation",6.6,133355,130000000,149260504,554987477,424987477,3.2691344384615384
The Emoji Movie,86.0,"Adventure,Animation,Comedy",3.2,47294,50000000,86089513,216562312,166562312,3.33124624
Epic,102.0,"Adventure,Animation,Family",6.7,95318,100000000,107518682,262794441,162794441,1.62794441
Frankenweenie,87.0,"Animation,Comedy,Family",7.0,89489,39000000,35287788,81150788,42150788,1.080789435897436
Frozen,102.0,"Adventure,Animation,Comedy",7.5,516998,150000000,400738009,1272469910,1122469910,7.483132733333333
The Pirates! Band of Misfits,88.0,"Adventure,Animation,Comedy",6.7,41958,55000000,31051126,136143605,81143605,1.4753382727272728
