movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Moneyball,133.0,"Biography,Drama,Sport",7.6,326657,50000000,75605492,111300835,61300835,1.2260167
Captain Phillips,134.0,"Biography,Drama,Thriller",7.8,387402,55000000,107136417,220648184,165648184,3.0117851636363637
Chasing Mavericks,116.0,"Biography,Drama,Sport",7.2,28994,20000000,6002756,8300821,-11699179,-0.58495895
My Week with Marilyn,99.0,"Biography,Drama",7.0,79337,10000000,14597405,34240572,24240572,2.4240572
The Revenant,156.0,"Action,Adventure,Biography",8.0,621193,135000000,183637894,532938302,397938302,2.947691125925926
Lincoln,150.0,"Biography,Drama,History",7.4,228701,65000000,182207973,273346281,208346281,3.2053274
Danny Collins,106.0,"Biography,Comedy,Drama",7.0,27435,10000000,5637066,8465845,-1534155,-0.1534155
Winchester,99.0,"Biography,Drama,Fantasy",5.4,24351,3500000,25091816,44378040,40878040,11.67944
The Runaways,106.0,"Biography,Drama,Music",6.6,43792,9500000,3573673,5278632,-4221368,-0.4443545263157895
Grace of Monaco,103.0,"Biography,Drama,Romance",5.7,16685,30000000,0,25199891,-4800109,-0.16000363333333334
Admiral,151.0,"Action,Adventure,Biography",7.0,7978,20000000,0,38585047,18585047,0.92925235
Only the Brave,134.0,"Action,Biography,Drama",7.7,45482,38000000,18340051,24555177,-13444823,-0.3538111315789474
42,128.0,"Biography,Drama,Sport",7.5,77703,31000000,95020213,97470701,66470701,2.1442161612903226
The Devil's Double,109.0,"Biography,Drama,Thriller",7.1,58342,19100000,1361512,5965646,-13134354,-0.6876625130890053
Unbroken,137.0,"Biography,Drama,Sport",7.2,129981,65000000,115637895,163527824,98527824,1.5158126769230769
A Walk in the Woods,104.0,"Adventure,Biography,Comedy",6.3,22033,8000000,29499394,37119358,29119358,3.63991975
Soul Surfer,112.0,"Biography,Drama,Family",7.1,41659,18000000,43853424,47158652,29158652,1.619925111111111
The Fighter,116.0,"Biography,Drama,Sport",7.8,316539,11000000,93617009,129262388,118262388,10.751126181818181
The Sessions,95.0,"Biography,Comedy,Drama",7.2,39731,1000000,6002451,11495204,10495204,10.495204
American Sniper,133.0,"Action,Biography,Drama",7.3,401915,58000000,350126372,547326372,489326372,8.436661586206897
Jobs,128.0,"Biography,Drama",5.9,88788,18000000,16131410,43402515,25402515,1.4112508333333333
Birth of the Dragon,95.0,"Action,Biography,Drama",5.4,6090,31000000,6901965,7220490,-23779510,-0.7670809677419355
Darkest Hour,125.0,"Biography,Drama,History",7.4,136546,30000000,56443120,150807172,120807172,4.026905733333333
Green Book,130.0,"Biography,Comedy,Drama",8.3,204972,23000000,85080171,322034439,299034439,13.001497347826087
Can You Ever Forgive Me?,106.0,"Biography,Comedy,Crime",7.2,29473,10000000,8803865,11752387,1752387,0.1752387
The 15:17 to Paris,94.0,"Biography,Drama,Thriller",5.2,21880,30000000,36276286,56096200,26096200,0.8698733333333334
127 Hours,94.0,"Adventure,Biography,Drama",7.6,323949,18000000,18335230,60217171,42217171,2.345398388888889
The Founder,115.0,"Biography,Drama,History",7.2,97841,15000000,12786053,24403192,9403192,0.6268794666666667
The Railway Man,116.0,"Biography,Drama,Romance",7.1,34586,18000000,4438438,23910210,5910210,0.328345
