movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Baggage Claim,96.0,Comedy,5.1,8296,8500000,21569509,22885836,14385836,1.692451294117647
21 Jump Street,109.0,"Action,Comedy,Crime",7.2,477771,42000000,138447667,202812429,160812429,3.8288673571428573
Aloha,105.0,"Comedy,Drama,Romance",5.4,54646,37000000,21052030,25387091,-11612909,-0.3138624054054054
Sex and the City 2,146.0,"Comedy,Drama,Romance",4.4,69199,95000000,95347692,294680778,199680778,2.1019029263157893
Small Apartments,96.0,"Comedy,Crime,Drama",6.1,6688,2000000,0,0,-2000000,-1.0
Going the Distance,102.0,"Comedy,Romance",6.3,54421,32000000,17804299,43603990,11603990,0.3626246875
Horrible Bosses,98.0,"Comedy,Crime",6.9,398695,35000000,117538559,212417601,177417601,5.069074314285714
Zoolander 2,101.0,Comedy,4.7,59914,50000000,28848693,55348693,5348693,0.10697386
Jumping the Broom,112.0,"Comedy,Drama",5.7,9089,7000000,37295394,38158601,31158601,4.4512287142857145
The Spectacular Now,95.0,"Comedy,Drama,Romance",7.1,133887,2500000,6852971,6916951,4416951,1.7667804
L!fe Happens,100.0,Comedy,5.6,7229,930000,30905,30905,-899095,-0.9667688172043011
Lottery Ticket,99.0,Comedy,5.0,10042,17000000,24719879,24719879,7719879,0.4541105294117647
Letters to Juliet,105.0,"Adventure,Comedy,Drama",6.6,86137,30000000,53032453,82148538,52148538,1.7382846
A Little Bit of Heaven,106.0,"Comedy,Drama,Fantasy",6.3,26441,12500000,10011,1100287,-11399713,-0.91197704
Central Intelligence,107.0,"Action,Comedy,Crime",6.3,138872,50000000,127440871,217194805,167194805,3.3438961
Madea's Big Happy Family,106.0,"Comedy,Drama",4.7,6996,25000000,53345287,54160818,29160818,1.16643272
The Bounty Hunter,110.0,"Action,Comedy,Romance",5.6,112444,45000000,67061228,135808837,90808837,2.0179741555555557
Anchorman 2: The Legend Continues,119.0,Comedy,6.3,156116,50000000,127352707,172185754,122185754,2.44371508
Pride and Prejudice and Zombies,108.0,"Action,Comedy,Horror",5.8,46187,28000000,10907291,16638300,-11361700,-0.405775
Men in Black 3,106.0,"Action,Adventure,Comedy",6.8,309879,215000000,179020854,654213485,439213485,2.042853418604651
You Again,105.0,"Comedy,Family,Romance",5.8,46690,20000000,25702053,32838945,12838945,0.64194725
Danny Collins,106.0,"Biography,Comedy,Drama",7.0,27435,10000000,5637066,8465845,-1534155,-0.1534155
Wild Target,98.0,"Action,Comedy,Crime",6.8,33915,8000000,109338,5314194,-2685806,-0.33572575
The Watch,102.0,"Action,Comedy,Horror",5.7,115757,55000000,34353000,67130045,12130045,0.22054627272727273
Despicable Me,95.0,"Animation,Comedy,Family",7.7,464511,69000000,251513985,543464573,474464573,6.87629815942029
Some Guy Who Kills People,97.0,"Comedy,Crime,Drama",6.3,5111,300000,0,0,-300000,-1.0
Tiny Furniture,98.0,"Comedy,Drama,Romance",6.2,13397,50000,391674,424149,374149,7.48298
Larry Crowne,98.0,"Comedy,Drama,Romance",6.1,58927,30000000,35608245,61449135,31449135,1.0483045
Norm of the North,90.0,"Adventure,Animation,Comedy",3.6,7951,18000000,17062499,30535660,12535660,0.6964255555555555
Rubber,82.0,"Comedy,Fantasy,Horror",5.8,31316,500000,100370,680914,180914,0.361828
A Few Best Men,97.0,"Comedy,Romance",5.7,12069,15000000,0,17224539,2224539,0.1483026
Trolls,92.0,"Adventure,Animation,Comedy",6.5,63295,125000000,153707064,344150134,219150134,1.753201072
The First Time,95.0,"Comedy,Drama,Romance",6.9,62589,2000000,17061,17061,-1982939,-0.9914695
Furry Vengeance,92.0,"Comedy,Family",3.8,14700,35000000,17630465,39340177,4340177,0.12400505714285714
The Big Wedding,89.0,"Comedy,Drama,Romance",5.6,44221,32500000,21819348,48425971,15925971,0.4900298769230769
Kevin Hart: Laugh at My Pain,89.0,"Comedy,Documentary",7.4,5081,750000,7706436,7712436,6962436,9.283248
Night at the Museum: Secret of the Tomb,98.0,"Adventure,Comedy,Family",6.2,93103,127000000,113746621,353756621,226756621,1.7854852047244094
The Descendants,115.0,"Comedy,Drama",7.3,223464,20000000,82624961,175507800,155507800,7.77539
You Will Meet a Tall Dark Stranger,98.0,"Comedy,Drama,Romance",6.3,41608,15000000,3247816,34247816,19247816,1.2831877333333332
Diary of a Wimpy Kid,94.0,"Comedy,Drama,Family",6.2,38640,15000000,64003625,76954311,61954311,4.1302874
The Spy Next Door,94.0,"Action,Comedy,Family",5.5,36767,28000000,24307106,46752858,18752858,0.6697449285714285
Submarine,97.0,"Comedy,Drama,Romance",7.3,79810,1900000,467602,4581937,2681937,1.4115457894736843
Grabbers,94.0,"Comedy,Horror,Sci-Fi",6.3,15727,5300000,0,440821,-4859179,-0.9168262264150944
The Dilemma,111.0,"Comedy,Drama",5.3,48148,70000000,48475290,70546865,546865,0.007812357142857143
Entourage,104.0,Comedy,6.6,71519,30000000,32363404,46438538,16438538,0.5479512666666667
Uncle Drew,103.0,"Comedy,Sport",5.7,9739,18000000,42469946,46527161,28527161,1.5848422777777778
Instant Family,118.0,"Comedy,Drama",7.4,46728,48000000,67363237,119736188,71736188,1.4945039166666667
Dinner for Schmucks,114.0,Comedy,5.9,91546,69000000,73026337,86796502,17796502,0.2579203188405797
Before We Go,95.0,"Comedy,Drama,Romance",6.8,45181,3000000,37151,483938,-2516062,-0.8386873333333333
Footloose,113.0,"Comedy,Drama,Music",5.9,43251,24000000,51802742,62989834,38989834,1.6245764166666667
Paul,104.0,"Adventure,Comedy,Sci-Fi",7.0,220567,40000000,37412945,101162106,61162106,1.52905265
A Walk in the Woods,104.0,"Adventure,Biography,Comedy",6.3,22033,8000000,29499394,37119358,29119358,3.63991975
Due Date,95.0,"Adventure,Comedy",6.5,303523,65000000,100539043,211739043,146739043,2.2575237384615385
Grown Ups,102.0,Comedy,6.0,210377,75000000,162001186,272223430,197223430,2.629645733333333
We Bought a Zoo,124.0,"Comedy,Drama,Family",7.1,126849,50000000,75624550,118729073,68729073,1.37458146
Barney's Version,134.0,"Comedy,Drama",7.3,23058,30000000,7502560,8845575,-21154425,-0.7051475
Attack the Block,88.0,"Action,Comedy,Sci-Fi",6.7,93868,13000000,1024175,6459183,-6540817,-0.5031397692307692
Damsels in Distress,99.0,"Comedy,Drama,Romance",5.7,8794,3000000,1007535,1324299,-1675701,-0.558567
The Way Way Back,103.0,"Comedy,Drama",7.4,132642,5000000,21502690,26853810,21853810,4.370762
The Green Hornet,119.0,"Action,Comedy,Crime",5.8,148622,110000000,98780042,229155503,119155503,1.0832318454545455
Sisters,118.0,Comedy,6.0,58994,30000000,87044645,106030660,76030660,2.5343553333333335
The Sessions,95.0,"Biography,Comedy,Drama",7.2,39731,1000000,6002451,11495204,10495204,10.495204
War Dogs,114.0,"Comedy,Crime,Drama",7.1,154029,50000000,43034523,86234503,36234503,0.72469006
Cars 3,102.0,"Adventure,Animation,Comedy",6.8,59408,175000000,152901115,383541369,208541369,1.1916649657142857
Paddington,95.0,"Adventure,Comedy,Family",7.2,84679,55000000,76223578,258789097,203789097,3.705256309090909
Brave,93.0,"Adventure,Animation,Comedy",7.1,338728,185000000,237282182,554606532,369606532,1.997873145945946
Cyrus,91.0,"Comedy,Drama,Romance",6.3,32457,7000000,7468936,10062896,3062896,0.4375565714285714
MacGruber,90.0,"Action,Comedy,Romance",5.5,39782,10000000,8525600,8629895,-1370105,-0.1370105
The Change-Up,112.0,"Comedy,Fantasy",6.3,155374,52000000,37243418,75997067,23997067,0.4614820576923077
Warm Bodies,98.0,"Comedy,Horror,Romance",6.9,208709,30000000,66380662,115121608,85121608,2.8373869333333332
Alvin and the Chipmunks: Chipwrecked,87.0,"Adventure,Animation,Comedy",4.4,28158,80000000,133107389,349088523,269088523,3.3636065375
Kick-Ass 2,103.0,"Action,Comedy,Crime",6.6,238832,28000000,28795985,63129909,35129909,1.2546396071428572
Your Sister's Sister,90.0,"Comedy,Drama",6.7,24780,120000,1597486,3090593,2970593,24.754941666666667
Green Book,130.0,"Biography,Comedy,Drama",8.3,204972,23000000,85080171,322034439,299034439,13.001497347826087
Happy Feet Two,100.0,"Adventure,Animation,Comedy",5.9,38396,135000000,64006466,157956466,22956466,0.1700478962962963
Baywatch,116.0,"Action,Comedy,Crime",5.6,137528,60000000,58060186,175863783,115863783,1.93106305
Everything Must Go,97.0,"Comedy,Drama",6.4,45799,5000000,2712131,2821010,-2178990,-0.435798
Prom,104.0,"Comedy,Drama,Family",5.4,14279,8000000,10130219,10763183,2763183,0.345397875
Carnage,80.0,"Comedy,Drama",7.2,111372,25000000,2546747,38112154,13112154,0.52448616
Meet the Blacks,94.0,"Comedy,Horror",5.9,34669,900000,9097072,9097072,8197072,9.107857777777777
Can You Ever Forgive Me?,106.0,"Biography,Comedy,Crime",7.2,29473,10000000,8803865,11752387,1752387,0.1752387
Logan Lucky,118.0,"Comedy,Crime,Drama",7.0,105966,29000000,27778642,44264271,15264271,0.5263541724137931
A Bad Moms Christmas,104.0,"Adventure,Comedy",5.5,33056,28000000,72110659,127710550,99710550,3.5610910714285713
The Back-up Plan,104.0,"Comedy,Romance",5.4,46128,35000000,37490007,75281179,40281179,1.1508908285714285
Le Havre,93.0,"Comedy,Drama",7.2,18490,5500000,611709,13480196,7980196,1.4509447272727272
Office Christmas Party,105.0,Comedy,5.8,59253,45000000,54767494,91323299,46323299,1.0294066444444445
Dope,103.0,"Comedy,Crime,Drama",7.2,76557,7000000,17506470,18190831,11190831,1.598690142857143
Bajrangi Bhaijaan,163.0,"Action,Comedy,Drama",8.0,63747,13000000,8178001,121778347,108778347,8.367565153846154
The Boss Baby,97.0,"Adventure,Animation,Comedy",6.3,93730,125000000,175003033,510878762,385878762,3.087030096
