movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
21 Jump Street,109.0,"Action,Comedy,Crime",7.2,477771,42000000,138447667,202812429,160812429,3.8288673571428573
Small Apartments,96.0,"Comedy,Crime,Drama",6.1,6688,2000000,0,0,-2000000,-1.0
Horrible Bosses,98.0,"Comedy,Crime",6.9,398695,35000000,117538559,212417601,177417601,5.069074314285714
Polisse,127.0,"Crime,Drama",7.3,12506,8900000,176988,22744132,13844132,1.5555204494382022
Machete,105.0,"Action,Crime,Thriller",6.6,182320,12500000,26593646,46370970,33870970,2.7096776
Nine Dead,98.0,"Crime,Drama,Horror",5.5,11358,2000000,0,0,-2000000,-1.0
Shanghai,105.0,"Crime,Drama,Mystery",6.4,8662,50000000,46425,15505922,-34494078,-0.68988156
Shanghai,120.0,"Crime,Mystery,Thriller",7.2,9047,50000000,46425,15505922,-34494078,-0.68988156
Central Intelligence,107.0,"Action,Comedy,Crime",6.3,138872,50000000,127440871,217194805,167194805,3.3438961
The Raven,110.0,"Crime,Mystery,Thriller",6.4,79578,26000000,16008272,30601801,4601801,0.17699234615384615
Sherlock Holmes: A Game of Shadows,129.0,"Action,Adventure,Crime",7.5,394189,125000000,186848418,535663443,410663443,3.285307544
A Nightmare on Elm Street,95.0,"Crime,Drama,Horror",5.2,85497,35000000,63075011,117729621,82729621,2.363703457142857
Escape Plan,115.0,"Action,Crime,Mystery",6.7,211587,70000000,25135965,103735965,33735965,0.48194235714285716
Wild Target,98.0,"Action,Comedy,Crime",6.8,33915,8000000,109338,5314194,-2685806,-0.33572575
Some Guy Who Kills People,97.0,"Comedy,Crime,Drama",6.3,5111,300000,0,0,-300000,-1.0
A Walk Among the Tombstones,114.0,"Action,Crime,Drama",6.5,105116,28000000,26017685,62108587,34108587,1.2181638214285715
Jack Reacher,130.0,"Action,Crime,Thriller",7.0,284547,60000000,80070736,217370736,157370736,2.6228456
Hell or High Water,102.0,"Action,Crime,Drama",7.6,176469,12000000,27007844,37584304,25584304,2.1320253333333334
Captive,97.0,"Action,Crime,Drama",5.4,6017,2000000,2583301,2791973,791973,0.3959865
The Equalizer 2,121.0,"Action,Crime,Thriller",6.7,97963,77000000,102084362,190453132,113453132,1.4734172987012988
Out of the Furnace,116.0,"Crime,Drama,Thriller",6.8,99037,22000000,11330849,15434375,-6565625,-0.2984375
A Lonely Place to Die,99.0,"Adventure,Crime,Thriller",6.3,25547,4000000,0,442550,-3557450,-0.8893625
Kill List,95.0,"Crime,Drama,Horror",6.4,32807,800000,29063,462206,-337794,-0.4222425
The Green Hornet,119.0,"Action,Comedy,Crime",5.8,148622,110000000,98780042,229155503,119155503,1.0832318454545455
War Dogs,114.0,"Comedy,Crime,Drama",7.1,154029,50000000,43034523,86234503,36234503,0.72469006
Inside Job,109.0,"Crime,Documentary",8.3,65304,2000000,4311834,7799257,5799257,2.8996285
Kick-Ass 2,103.0,"Action,Comedy,Crime",6.6,238832,28000000,28795985,63129909,35129909,1.2546396071428572
Broken City,109.0,"Crime,Drama,Thriller",6.2,71704,35000000,19701164,34480045,-519955,-0.014855857142857143
Bullet to the Head,92.0,"Action,Crime,Thriller",5.7,44816,55000000,9489829,22597969,-32402031,-0.5891278363636364
Dredd,95.0,"Action,Crime,Sci-Fi",7.1,234616,45000000,13414714,41467606,-3532394,-0.07849764444444444
Baywatch,116.0,"Action,Comedy,Crime",5.6,137528,60000000,58060186,175863783,115863783,1.93106305
Only God Forgives,90.0,"Crime,Drama",5.7,100318,4800000,775849,4494560,-305440,-0.06363333333333333
Can You Ever Forgive Me?,106.0,"Biography,Comedy,Crime",7.2,29473,10000000,8803865,11752387,1752387,0.1752387
Logan Lucky,118.0,"Comedy,Crime,Drama",7.0,105966,29000000,27778642,44264271,15264271,0.5263541724137931
Dope,103.0,"Comedy,Crime,Drama",7.2,76557,7000000,17506470,18190831,11190831,1.598690142857143
Tower Heist,104.0,"Action,Comedy,Crime",6.2,125102,85000000,78046570,150422946,65422946,0.7696817176470588
The Heat,117.0,"Action,Comedy,Crime",6.6,153501,43000000,159581587,229727774,186727774,4.342506372093023
Legend,132.0,"Biography,Crime,Drama",7.0,138947,25000000,15502112,23506237,-1493763,-0.05975052
Machete Kills,107.0,"Action,Crime,Sci-Fi",5.6,69968,20000000,8008161,18273009,-1726991,-0.08634955
Muppets Most Wanted,107.0,"Adventure,Comedy,Crime",6.4,29018,55000000,51178893,79312301,24312301,0.44204183636363636
The Family,111.0,"Comedy,Crime,Thriller",6.3,102576,30000000,36918811,51078541,21078541,0.7026180333333333
Furious 7,137.0,"Action,Crime,Thriller",7.2,335074,190000000,353007020,1518722794,1328722794,6.9932778631578945
The Girl on the Train,112.0,"Crime,Drama,Mystery",6.5,150977,45000000,75395035,174278214,129278214,2.8728492
Proud Mary,89.0,"Action,Crime,Drama",4.9,6805,30000000,20868638,21709539,-8290461,-0.2763487
30 Minutes or Less,83.0,"Action,Comedy,Crime",6.1,87254,28000000,37053924,40966716,12966716,0.463097
Deadfall,95.0,"Crime,Drama,Thriller",6.3,36491,6000000,66351,1673635,-4326365,-0.7210608333333334
Triple 9,115.0,"Crime,Thriller",6.3,60369,20000000,12639297,25943792,5943792,0.2971896
Death Wish,107.0,"Action,Crime,Drama",6.4,50279,30000000,34017028,48575965,18575965,0.6191988333333334
The American,105.0,"Crime,Drama,Thriller",6.3,86863,20000000,35606376,67950723,47950723,2.39753615
The Next Three Days,133.0,"Action,Crime,Drama",7.4,168066,30000000,21148651,67255916,37255916,1.2418638666666666
The Hate U Give,133.0,"Crime,Drama",7.3,17583,23000000,29719483,35067665,12067665,0.5246810869565217
Red State,88.0,"Action,Crime,Horror",6.2,59266,4000000,1065429,1983596,-2016404,-0.504101
Child 44,137.0,"Crime,Drama,History",6.5,59477,50000000,1224330,8004221,-41995779,-0.83991558
The Iceman,106.0,"Biography,Crime,Drama",6.9,65571,10000000,1930282,3623609,-6376391,-0.6376391
Eden,98.0,"Crime,Drama",6.7,7709,2300000,0,0,-2300000,-1.0
Dheepan,115.0,"Crime,Drama",7.2,12312,9000000,248795,7704357,-1295643,-0.14396033333333333
"Three Billboards Outside Ebbing, Missouri",115.0,"Crime,Drama",8.2,344047,12000000,54513740,160191915,148191915,12.34932625
Robot & Frank,89.0,"Comedy,Crime,Drama",7.1,59229,2500000,3317468,4934356,2434356,0.9737424
No Good Deed,84.0,"Action,Crime,Drama",5.6,16045,13200000,52543632,54323210,41123210,3.115394696969697
Get Hard,100.0,"Comedy,Crime",6.0,111187,40000000,90411453,106511453,66511453,1.662786325
Inferno,121.0,"Action,Adventure,Crime",6.2,138978,75000000,34343574,219519367,144519367,1.9269248933333334
Sicario,121.0,"Action,Crime,Drama",7.6,328548,30000000,46889293,84393749,54393749,1.8131249666666667
A Simple Favor,117.0,"Comedy,Crime,Drama",6.9,83338,20000000,53548586,97628717,77628717,3.88143585
Casino Jack,108.0,"Biography,Comedy,Crime",6.2,16191,12500000,2039869,2272186,-10227814,-0.81822512
Lawless,116.0,"Crime,Drama",7.3,214055,26000000,37397291,54393687,28393687,1.0920648846153846
