movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Moneyball,133.0,"Biography,Drama,Sport",7.6,326657,50000000,75605492,111300835,61300835,1.2260167
Hereafter,129.0,"Drama,Fantasy,Romance",6.5,87288,50000000,32746941,108660270,58660270,1.1732054
Aloha,105.0,"Comedy,Drama,Romance",5.4,54646,37000000,21052030,25387091,-11612909,-0.3138624054054054
Sex and the City 2,146.0,"Comedy,Drama,Romance",4.4,69199,95000000,95347692,294680778,199680778,2.1019029263157893
Small Apartments,96.0,"Comedy,Crime,Drama",6.1,6688,2000000,0,0,-2000000,-1.0
Remember Me,113.0,"Drama,Romance",7.1,129443,16000000,19068240,56506120,40506120,2.5316325
Captain Phillips,134.0,"Biography,Drama,Thriller",7.8,387402,55000000,107136417,220648184,165648184,3.0117851636363637
Another Earth,92.0,"Drama,Romance,Sci-Fi",7.0,85839,175000,1321194,2102779,1927779,11.01588
House at the End of the Street,101.0,"Drama,Horror,Thriller",5.6,66303,6900000,31611916,44103982,37203982,5.391881449275362
Chasing Mavericks,116.0,"Biography,Drama,Sport",7.2,28994,20000000,6002756,8300821,-11699179,-0.58495895
Jumping the Broom,112.0,"Comedy,Drama",5.7,9089,7000000,37295394,38158601,31158601,4.4512287142857145
My Week with Marilyn,99.0,"Biography,Drama",7.0,79337,10000000,14597405,34240572,24240572,2.4240572
Polisse,127.0,"Crime,Drama",7.3,12506,8900000,176988,22744132,13844132,1.5555204494382022
The Spectacular Now,95.0,"Comedy,Drama,Romance",7.1,133887,2500000,6852971,6916951,4416951,1.7667804
Eat Pray Love,133.0,"Drama,Romance",5.8,77709,60000000,80574010,206598789,146598789,2.44331315
Letters to Juliet,105.0,"Adventure,Comedy,Drama",6.6,86137,30000000,53032453,82148538,52148538,1.7382846
Nine Dead,98.0,"Crime,Drama,Horror",5.5,11358,2000000,0,0,-2000000,-1.0
Shanghai,105.0,"Crime,Drama,Mystery",6.4,8662,50000000,46425,15505922,-34494078,-0.68988156
A Little Bit of Heaven,106.0,"Comedy,Drama,Fantasy",6.3,26441,12500000,10011,1100287,-11399713,-0.91197704
