movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
The Adventurer: The Curse of the Midas Box,100.0,"Adventure,Family,Fantasy",5.4,5257,25000000,0,0,-25000000,-1.0
The Karate Kid,140.0,"Action,Drama,Family",6.2,146401,40000000,176591618,351774938,311774938,7.79437345
You Again,105.0,"Comedy,Family,Romance",5.8,46690,20000000,25702053,32838945,12838945,0.64194725
Despicable Me,95.0,"Animation,Comedy,Family",7.7,464511,69000000,251513985,543464573,474464573,6.87629815942029
Furry Vengeance,92.0,"Comedy,Family",3.8,14700,35000000,17630465,39340177,4340177,0.12400505714285714
The Hobbit: An Unexpected Journey,169.0,"Adventure,Family,Fantasy",7.9,719629,250000000,303003568,1017003568,767003568,3.068014272
Night at the Museum: Secret of the Tomb,98.0,"Adventure,Comedy,Family",6.2,93103,127000000,113746621,353756621,226756621,1.7854852047244094
Diary of a Wimpy Kid,94.0,"Comedy,Drama,Family",6.2,38640,15000000,64003625,76954311,61954311,4.1302874
The Spy Next Door,94.0,"Action,Comedy,Family",5.5,36767,28000000,24307106,46752858,18752858,0.6697449285714285
The Kid Who Would Be King,120.0,"Action,Adventure,Family",6.0,8044,59000000,16790790,28348446,-30651554,-0.5195178644067796
Mars Needs Moms,88.0,"Adventure,Animation,Family",5.4,19823,150000000,21392758,39549758,-110450242,-0.7363349466666667
We Bought a Zoo,124.0,"Comedy,Drama,Family",7.1,126849,50000000,75624550,118729073,68729073,1.37458146
Soul Surfer,112.0,"Biography,Drama,Family",7.1,41659,18000000,43853424,47158652,29158652,1.619925111111111
Paddington,95.0,"Adventure,Comedy,Family",7.2,84679,55000000,76223578,258789097,203789097,3.705256309090909
Fantastic Beasts: The Crimes of Grindelwald,134.0,"Adventure,Family,Fantasy",6.6,163151,200000000,159555901,652220086,452220086,2.26110043
Prom,104.0,"Comedy,Drama,Family",5.4,14279,8000000,10130219,10763183,2763183,0.345397875
The Sorcerer's Apprentice,109.0,"Action,Adventure,Family",6.1,143862,160000000,63150991,217986320,57986320,0.3624145
The BFG,117.0,"Adventure,Family,Fantasy",6.4,69340,140000000,55483770,199646680,59646680,0.4260477142857143
Alice in Wonderland,108.0,"Adventure,Family,Fantasy",6.5,358813,200000000,334191110,1025491110,825491110,4.12745555
Diary of a Wimpy Kid: Dog Days,94.0,"Comedy,Family",6.3,19571,22000000,49008662,77229695,55229695,2.510440681818182
Dolphin Tale 2,107.0,"Drama,Family",6.4,7579,36000000,42024533,57824533,21824533,0.6062370277777778
Goosebumps,103.0,"Adventure,Comedy,Family",6.3,72858,58000000,80069458,158905324,100905324,1.7397469655172413
Gulliver's Travels,85.0,"Adventure,Comedy,Family",4.9,61178,112000000,42779261,232017848,120017848,1.0715879285714285
Real Steel,127.0,"Action,Drama,Family",7.1,283534,110000000,85463309,263880341,153880341,1.398912190909091
Ramona and Beezus,103.0,"Adventure,Comedy,Family",6.6,16086,15000000,26167002,27469621,12469621,0.8313080666666667
Epic,102.0,"Adventure,Animation,Family",6.7,95318,100000000,107518682,262794441,162794441,1.62794441
Hugo,126.0,"Adventure,Drama,Family",7.5,284869,180000000,73864507,180047784,47784,0.00026546666666666665
Frankenweenie,87.0,"Animation,Comedy,Family",7.0,89489,39000000,35287788,81150788,42150788,1.080789435897436
Max Steel,92.0,"Action,Adventure,Family",4.6,16788,10000000,3818664,4563080,-5436920,-0.543692
Dumbo,112.0,"Adventure,Family,Fantasy",6.6,25072,170000000,113883318,345004422,175004422,1.0294377764705882
The Muppets,103.0,"Adventure,Comedy,Family",7.1,82752,45000000,88625922,160971922,115971922,2.5771538222222223
Zookeeper,102.0,"Comedy,Family,Romance",5.2,52396,80000000,80360866,170805525,90805525,1.1350690625
Goosebumps 2: Haunted Halloween,90.0,"Adventure,Comedy,Family",5.6,11459,35000000,46697321,93291478,58291478,1.6654708
Alice Through the Looking Glass,113.0,"Adventure,Family,Fantasy",6.2,79951,170000000,77042381,276928112,106928112,0.628988894117647
The Odd Life of Timothy Green,105.0,"Comedy,Drama,Family",6.6,42770,40000000,51853450,55249159,15249159,0.381228975
A Wrinkle in Time,109.0,"Adventure,Family,Fantasy",4.2,34888,103000000,100478608,133401882,30401882,0.29516390291262135
I Can Only Imagine,110.0,"Biography,Drama,Family",7.4,11439,7000000,83482352,85604221,78604221,11.22917442857143
The Three Stooges,92.0,"Comedy,Family",5.1,28570,30000000,44338224,54052249,24052249,0.8017416333333334
Percy Jackson & the Olympians: The Lightning Thief,118.0,"Adventure,Family,Fantasy",5.9,165108,95000000,88768303,223050874,128050874,1.3479039368421053
Parental Guidance,105.0,"Comedy,Family",6.1,23711,25000000,77267296,120832383,95832383,3.83329532
Tomorrowland,130.0,"Action,Adventure,Family",6.4,161343,170000000,93436322,206627518,36627518,0.2154559882352941
Aladdin,128.0,"Adventure,Comedy,Family",7.4,57549,182000000,246734314,619234314,437234314,2.4023863406593406
Secretariat,123.0,"Biography,Drama,Family",7.2,24536,35000000,59699513,60376247,25376247,0.7250356285714286
Percy Jackson: Sea of Monsters,106.0,"Adventure,Family,Fantasy",5.8,102313,90000000,68559554,200859554,110859554,1.2317728222222222
Beauty and the Beast,129.0,"Family,Fantasy,Musical",7.2,238325,160000000,504014165,1259199706,1099199706,6.8699981625
Maleficent,97.0,"Action,Adventure,Family",7.0,305832,180000000,241407328,758536735,578536735,3.2140929722222222
Oz the Great and Powerful,130.0,"Adventure,Family,Fantasy",6.3,192045,200000000,234770996,490359051,290359051,1.451795255
Earth to Echo,91.0,"Adventure,Family,Sci-Fi",5.8,17627,13000000,38934842,42174545,29174545,2.2441957692307692
Max,111.0,"Adventure,Drama,Family",6.8,23976,20000000,42656255,43658157,23658157,1.18290785
Sing,108.0,"Animation,Comedy,Family",7.1,115951,75000000,270329045,634454789,559454789,7.459397186666667
The Nutcracker and the Four Realms,99.0,"Adventure,Family,Fantasy",5.5,18734,132900000,54858851,170293899,37393899,0.281368690744921
Monte Carlo,109.0,"Adventure,Comedy,Family",5.8,38731,20000000,23186769,39686769,19686769,0.98433845
Cinderella,105.0,"Drama,Family,Fantasy",6.9,142792,95000000,201151353,534551353,439551353,4.626856347368421
When the Game Stands Tall,115.0,"Drama,Family,Sport",6.7,14498,15000000,30127963,30138912,15138912,1.0092608
Jem and the Holograms,118.0,"Adventure,Drama,Family",4.1,6683,5000000,2184640,2368937,-2631063,-0.5262126
Marmaduke,87.0,"Comedy,Family",4.2,13283,50000000,33644788,89895930,39895930,0.7979186
Dolphin Tale,113.0,"Drama,Family",6.9,20746,37000000,72286779,96068724,59068724,1.596452
Diary of a Wimpy Kid: Rodrick Rules,99.0,"Comedy,Family",6.6,23135,18000000,52698535,73695194,55695194,3.0941774444444445
Hotel Transylvania 2,89.0,"Animation,Comedy,Family",6.7,92905,80000000,169700110,469500298,389500298,4.868753725
Big Miracle,107.0,"Biography,Drama,Family",6.5,17585,40000000,20157300,25268680,-14731320,-0.368283
Mary Poppins Returns,130.0,"Comedy,Family,Fantasy",6.9,52103,130000000,171958438,341528518,211528518,1.6271424461538462
Fantastic Beasts and Where to Find Them,132.0,"Adventure,Family,Fantasy",7.3,365353,180000000,234037575,802402853,622402853,3.457793627777778
Pan,111.0,"Adventure,Comedy,Family",5.8,55867,150000000,35088320,151525973,1525973,0.010173153333333334
Annie,118.0,"Comedy,Drama,Family",5.3,31241,65000000,85911262,139829625,74829625,1.151225
Diary of a Wimpy Kid: The Long Haul,91.0,"Comedy,Family",4.4,5635,22000000,20738724,35609577,13609577,0.6186171363636364
Tooth Fairy,101.0,"Comedy,Family,Fantasy",5.0,37939,48000000,60022256,112610386,64610386,1.3460497083333334
The Jungle Book,106.0,"Adventure,Drama,Family",7.4,240821,175000000,364001123,962854547,787854547,4.502025982857143
Alpha,96.0,"Adventure,Drama,Family",6.7,41882,51000000,35851379,99624873,48624873,0.9534288823529412
Wonder,113.0,"Drama,Family",8.0,111632,20000000,132422809,304604712,284604712,14.2302356
Cats & Dogs: The Revenge of Kitty Galore,82.0,"Action,Comedy,Family",4.3,12642,85000000,43585753,113026383,28026383,0.32972215294117646
Miracles from Heaven,109.0,"Biography,Drama,Family",7.1,17734,13000000,61705123,73798736,60798736,4.6768258461538466
Middle School: The Worst Years of My Life,92.0,"Comedy,Family",6.1,6413,8500000,20007149,23311293,14811293,1.7425050588235294
