movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
The Legend of Hercules,99.0,"Action,Adventure,Fantasy",4.2,50352,70000000,18848538,58953319,-11046681,-0.15780972857142858
Hereafter,129.0,"Drama,Fantasy,Romance",6.5,87288,50000000,32746941,108660270,58660270,1.1732054
Don't Be Afraid of the Dark,99.0,"Fantasy,Horror,Thriller",5.6,44490,25000000,24046682,39126427,14126427,0.56505708
The Adventurer: The Curse of the Midas Box,100.0,"Adventure,Family,Fantasy",5.4,5257,25000000,0,0,-25000000,-1.0
Cirque du Soleil: Worlds Away,91.0,Fantasy,6.8,7643,25000000,12512862,28012862,3012862,0.12051448
A Little Bit of Heaven,106.0,"Comedy,Drama,Fantasy",6.3,26441,12500000,10011,1100287,-11399713,-0.91197704
Abraham Lincoln: Vampire Hunter,105.0,"Action,Fantasy,Horror",5.9,142853,67500000,37519139,137489730,69989730,1.0368848888888889
The Last Witch Hunter,106.0,"Action,Adventure,Fantasy",6.0,86118,80000000,27367660,130818912,50818912,0.6352364
Beautiful Creatures,124.0,"Drama,Fantasy,Romance",6.2,79764,50000000,19452138,60282876,10282876,0.20565752
Winchester,99.0,"Biography,Drama,Fantasy",5.4,24351,3500000,25091816,44378040,40878040,11.67944
Hercules,98.0,"Action,Adventure,Fantasy",6.0,137287,100000000,72688614,243388614,143388614,1.43388614
Pirates of the Caribbean: On Stranger Tides,136.0,"Action,Adventure,Fantasy",6.6,447624,410600000,241063875,1045663875,635063875,1.5466728567949342
Jack the Giant Slayer,114.0,"Adventure,Fantasy",6.3,123127,195000000,65187603,197687603,2687603,0.013782579487179487
Rubber,82.0,"Comedy,Fantasy,Horror",5.8,31316,500000,100370,680914,180914,0.361828
Dracula Untold,92.0,"Action,Drama,Fantasy",6.3,164829,70000000,55991880,220241723,150241723,2.1463103285714284
The Hobbit: An Unexpected Journey,169.0,"Adventure,Family,Fantasy",7.9,719629,250000000,303003568,1017003568,767003568,3.068014272
Godzilla: King of the Monsters,132.0,"Action,Adventure,Fantasy",6.7,36479,170000000,85576941,299276941,129276941,0.7604525941176471
Immortals,110.0,"Action,Drama,Fantasy",6.0,152992,75000000,83504017,211562435,136562435,1.8208324666666666
The Twilight Saga: Eclipse,124.0,"Adventure,Drama,Fantasy",5.0,211733,68000000,300531751,706102828,638102828,9.383865117647058
If I Stay,107.0,"Drama,Fantasy,Music",6.8,107625,11000000,50474843,78356170,67356170,6.1232881818181815
Drive Angry,104.0,"Action,Fantasy,Thriller",5.4,90203,50000000,10721033,41042583,-8957417,-0.17914834
Warcraft,123.0,"Action,Adventure,Fantasy",6.9,225557,160000000,47225655,425522281,265522281,1.65951425625
Valerian and the City of a Thousand Planets,137.0,"Action,Adventure,Fantasy",6.5,139792,180000000,40479370,215098356,35098356,0.19499086666666668
Jonah Hex,81.0,"Action,Drama,Fantasy",4.7,51860,47000000,10547117,11022696,-35977304,-0.7654745531914894
Upside Down,109.0,"Drama,Fantasy,Romance",6.4,66347,50000000,102118,26387039,-23612961,-0.47225922
The Change-Up,112.0,"Comedy,Fantasy",6.3,155374,52000000,37243418,75997067,23997067,0.4614820576923077
Fantastic Beasts: The Crimes of Grindelwald,134.0,"Adventure,Family,Fantasy",6.6,163151,200000000,159555901,652220086,452220086,2.26110043
Ender's Game,114.0,"Action,Adventure,Fantasy",6.6,211722,110000000,61737191,127983283,17983283,0.16348439090909092
Red Lights,114.0,"Drama,Fantasy,Horror",6.2,55287,17700000,49521,14518884,-3181116,-0.17972406779661018
Wonder Woman,141.0,"Action,Adventure,Fantasy",7.5,487527,150000000,412563408,821133378,671133378,4.47422252
Season of the Witch,95.0,"Action,Adventure,Fantasy",5.4,85777,40000000,24827228,91126600,51126600,1.278165
Mortal Engines,128.0,"Action,Adventure,Fantasy",6.1,70193,100000000,15951040,85287417,-14712583,-0.14712583
Legion,100.0,"Action,Fantasy,Horror",5.2,92709,26000000,40168080,67647574,41647574,1.6018297692307693
Conan the Barbarian,113.0,"Action,Adventure,Fantasy",5.2,90834,90000000,21295021,63356133,-26643867,-0.2960429666666667
The BFG,117.0,"Adventure,Family,Fantasy",6.4,69340,140000000,55483770,199646680,59646680,0.4260477142857143
Alice in Wonderland,108.0,"Adventure,Family,Fantasy",6.5,358813,200000000,334191110,1025491110,825491110,4.12745555
