movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Lincoln,150.0,"Biography,Drama,History",7.4,228701,65000000,182207973,273346281,208346281,3.2053274
12 Strong,130.0,"Action,Drama,History",6.6,50155,35000000,45819713,71118378,36118378,1.0319536571428571
The Gatekeepers,101.0,"Documentary,History,War",7.6,5214,1500000,2408553,2592308,1092308,0.7282053333333334
Darkest Hour,125.0,"Biography,Drama,History",7.4,136546,30000000,56443120,150807172,120807172,4.026905733333333
Deepwater Horizon,107.0,"Action,Drama,History",7.1,133303,156000000,61433527,122603824,-33396176,-0.2140780512820513
The Founder,115.0,"Biography,Drama,History",7.2,97841,15000000,12786053,24403192,9403192,0.6268794666666667
The Finest Hours,117.0,"Action,Drama,History",6.8,55981,70000000,27569558,49252761,-20747239,-0.2963891285714286
Tulip Fever,105.0,"Drama,History,Romance",6.2,15037,25000000,2455635,6792768,-18207232,-0.72828928
First Man,141.0,"Biography,Drama,History",7.4,120009,60000000,44936545,105203825,45203825,0.7533970833333333
Jackie,100.0,"Biography,Drama,History",6.7,66008,9000000,13960394,36588512,27588512,3.0653902222222222
Child 44,137.0,"Crime,Drama,History",6.5,59477,50000000,1224330,8004221,-41995779,-0.83991558
Straight Outta Compton,147.0,"Biography,Drama,History",7.9,165307,28000000,161197785,202182981,174182981,6.22082075
The Post,116.0,"Biography,Drama,History",7.2,108017,50000000,81903458,179748880,129748880,2.5949776
12 Years a Slave,134.0,"Biography,Drama,History",8.1,577301,20000000,56671993,181025343,161025343,8.05126715
The Monuments Men,118.0,"Comedy,Drama,History",6.1,117638,70000000,78031620,158702748,88702748,1.2671821142857143
Churchill,105.0,"Biography,Drama,History",6.3,12047,10000000,1279681,7582196,-2417804,-0.2417804
Little Boy,106.0,"Drama,History,War",7.4,20945,20000000,6485961,17769299,-2230701,-0.11153505
Beneath Hill 60,122.0,"Drama,History,War",7.1,6903,9000000,0,3440939,-5559061,-0.6176734444444445
Silence,161.0,"Adventure,Drama,History",7.2,85242,46500000,7100177,23726626,-22773374,-0.48974997849462365
Selma,128.0,"Biography,Drama,History",7.5,77633,20000000,52076908,66776576,46776576,2.3388288
The Water Diviner,111.0,"Drama,History,War",7.1,66595,22500000,4200117,31054727,8554727,0.3802100888888889
Phantom,98.0,"Drama,History,Thriller",5.9,12786,18000000,1034589,1199510,-16800490,-0.9333605555555555
Woman in Gold,109.0,"Biography,Drama,History",7.3,48501,11000000,33307793,58586407,47586407,4.326037
Mr. Turner,150.0,"Biography,Drama,History",6.8,22661,14000000,3958546,25187026,11187026,0.7990732857142857
Parkland,93.0,"Drama,History,Mystery",6.4,14036,10000000,641439,1616353,-8383647,-0.8383647
The 33,127.0,"Biography,Drama,History",6.9,32263,25000000,12227722,28400715,3400715,0.1360286
The Promise,133.0,"Drama,History",6.1,164555,90000000,8224288,10551417,-79448583,-0.8827620333333334
Dunkirk,106.0,"Action,Drama,History",7.9,466580,150000000,190068280,499837368,349837368,2.33224912
Mandela: Long Walk to Freedom,141.0,"Biography,Drama,History",7.1,25027,35000000,8323085,29890402,-5109598,-0.1459885142857143
Hidden Figures,127.0,"Biography,Drama,History",7.8,171131,25000000,169607287,231771716,206771716,8.27086864
The Birth of a Nation,120.0,"Biography,Drama,History",6.4,18442,10000000,15861566,16891011,6891011,0.6891011
The Favourite,119.0,"Biography,Drama,History",7.6,116011,15000000,34366783,94113929,79113929,5.274261933333333
Suffragette,106.0,"Biography,Drama,History",6.9,34306,14000000,4702420,34044909,20044909,1.4317792142857142
The Square,108.0,"Documentary,Drama,History",8.1,7998,1900000,406216,740932,-1159068,-0.6100357894736842
Mary Queen of Scots,124.0,"Biography,Drama,History",6.3,23866,25000000,16468499,46734733,21734733,0.86938932
USS Indianapolis: Men of Courage,128.0,"Action,Drama,History",5.2,9453,40000000,0,1663785,-38336215,-0.958405375
Escobar: Paradise Lost,120.0,"Crime,Drama,History",6.5,19419,17000000,195792,3917679,-13082321,-0.769548294117647
The Conspirator,122.0,"Crime,Drama,History",6.9,26416,25000000,11538204,15907411,-9092589,-0.36370356
The Impossible,114.0,"Drama,History,Thriller",7.6,177762,40000000,19019882,169590606,129590606,3.23976515
Bridge of Spies,142.0,"Drama,History,Thriller",7.6,263004,40000000,72313754,162498338,122498338,3.06245845
Hacksaw Ridge,139.0,"Biography,Drama,History",8.1,366904,40000000,67209615,168904682,128904682,3.22261705
Son of God,138.0,"Biography,Drama,History",5.8,17606,22000000,59700064,70949793,48949793,2.224990590909091
Testament of Youth,129.0,"Biography,Drama,History",7.3,23632,10000000,1822250,6646669,-3353331,-0.3353331
War Horse,146.0,"Drama,History,War",7.2,136447,70000000,79883359,156815529,86815529,1.2402218428571428
