movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Don't Be Afraid of the Dark,99.0,"Fantasy,Horror,Thriller",5.6,44490,25000000,24046682,39126427,14126427,0.56505708
House at the End of the Street,101.0,"Drama,Horror,Thriller",5.6,66303,6900000,31611916,44103982,37203982,5.391881449275362
Nine Dead,98.0,"Crime,Drama,Horror",5.5,11358,2000000,0,0,-2000000,-1.0
Abraham Lincoln: Vampire Hunter,105.0,"Action,Fantasy,Horror",5.9,142853,67500000,37519139,137489730,69989730,1.0368848888888889
The Last Days on Mars,98.0,"Adventure,Horror,Sci-Fi",5.5,33137,10600000,24084,261364,-10338636,-0.9753430188679245
The Lords of Salem,101.0,"Horror,Thriller",5.1,25089,1500000,1165881,1541131,41131,0.027420666666666666
Resident Evil: Retribution,95.0,"Action,Horror,Sci-Fi",5.4,125191,65000000,42345531,240647629,175647629,2.7022712153846156
Pride and Prejudice and Zombies,108.0,"Action,Comedy,Horror",5.8,46187,28000000,10907291,16638300,-11361700,-0.405775
The Divide,112.0,"Drama,Horror,Sci-Fi",5.8,33603,3000000,18000,156362,-2843638,-0.9478793333333333
A Nightmare on Elm Street,95.0,"Crime,Drama,Horror",5.2,85497,35000000,63075011,117729621,82729621,2.363703457142857
10 Cloverfield Lane,103.0,"Drama,Horror,Mystery",7.2,260383,5000000,72082999,108286422,103286422,20.6572844
The Watch,102.0,"Action,Comedy,Horror",5.7,115757,55000000,34353000,67130045,12130045,0.22054627272727273
Rubber,82.0,"Comedy,Fantasy,Horror",5.8,31316,500000,100370,680914,180914,0.361828
Demonic,83.0,"Horror,Thriller",5.3,12025,3000000,0,4668109,1668109,0.5560363333333334
Hell Fest,89.0,Horror,5.5,8662,5500000,11107431,18119231,12619231,2.2944056363636363
The Purge,85.0,"Horror,Thriller",5.7,183549,3000000,64473115,91266581,88266581,29.422193666666665
Ouija,89.0,"Horror,Mystery,Thriller",4.5,44054,5000000,50856010,103300632,98300632,19.6601264
Stake Land,98.0,"Drama,Horror,Sci-Fi",6.5,38749,4000000,33245,679482,-3320518,-0.8301295
Grabbers,94.0,"Comedy,Horror,Sci-Fi",6.3,15727,5300000,0,440821,-4859179,-0.9168262264150944
Truth or Dare,100.0,"Horror,Thriller",5.2,33621,3500000,41411015,95127344,91627344,26.179241142857144
Rings,102.0,"Drama,Horror,Mystery",4.5,34151,25000000,27793018,82917283,57917283,2.31669132
Devil,80.0,"Horror,Mystery,Thriller",6.2,122080,10000000,33679655,63354114,53354114,5.3354114
Beyond the Black Rainbow,110.0,"Horror,Sci-Fi,Thriller",6.0,10765,1100000,56491,56491,-1043509,-0.9486445454545455
Kill List,95.0,"Crime,Drama,Horror",6.4,32807,800000,29063,462206,-337794,-0.4222425
Carrie,100.0,"Drama,Horror",5.9,125424,30000000,35266619,82409520,52409520,1.746984
Warm Bodies,98.0,"Comedy,Horror,Romance",6.9,208709,30000000,66380662,115121608,85121608,2.8373869333333332
The Apparition,83.0,"Horror,Thriller",4.1,18112,17000000,4936819,10637281,-6362719,-0.3742775882352941
Texas Chainsaw 3D,92.0,"Horror,Thriller",4.8,41784,20000000,34341945,47666013,27666013,1.38330065
Red Lights,114.0,"Drama,Fantasy,Horror",6.2,55287,17700000,49521,14518884,-3181116,-0.17972406779661018
The Purge: Election Year,108.0,"Action,Horror,Sci-Fi",6.0,80254,10000000,79042440,118514727,108514727,10.8514727
