movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
The Runaways,106.0,"Biography,Drama,Music",6.6,43792,9500000,3573673,5278632,-4221368,-0.4443545263157895
If I Stay,107.0,"Drama,Fantasy,Music",6.8,107625,11000000,50474843,78356170,67356170,6.1232881818181815
Footloose,113.0,"Comedy,Drama,Music",5.9,43251,24000000,51802742,62989834,38989834,1.6245764166666667
The Last Song,107.0,"Drama,Music,Romance",6.0,74914,20000000,62950384,92678948,72678948,3.6339474
Pitch Perfect 2,115.0,"Comedy,Music",6.4,130692,29000000,184296230,287625468,258625468,8.918119586206897
Patti Cake$,109.0,"Drama,Music",6.7,8581,1000000,800148,1471090,471090,0.47109
Rocketman,121.0,"Biography,Drama,Music",7.7,24266,41000000,57342725,108642725,67642725,1.6498225609756099
Yeh Jawaani Hai Deewani,160.0,"Comedy,Drama,Musical",7.1,33971,8300000,3827466,50827466,42527466,5.123791084337349
Katy Perry: Part of Me,93.0,"Documentary,Music",5.9,13034,12000000,25326071,32700439,20700439,1.7250365833333334
"Hail, Caesar!",106.0,"Comedy,Drama,Music",6.3,111422,22000000,30080225,64160680,42160680,1.9163945454545455
Get Him to the Greek,109.0,"Adventure,Comedy,Music",6.4,161653,40000000,61153526,91455875,51455875,1.286396875
Step Up Revolution,99.0,"Drama,Music,Romance",6.5,51295,33000000,35074677,165552290,132552290,4.0167360606060605
The Greatest Showman,105.0,"Biography,Drama,Musical",7.6,199663,84000000,174340174,386665550,302665550,3.6031613095238093
La La Land,128.0,"Comedy,Drama,Music",8.0,436070,20000000,151101803,426351163,406351163,20.31755815
The Last Five Years,94.0,"Comedy,Drama,Musical",5.9,8735,2000000,147299,205298,-1794702,-0.897351
Get on Up,139.0,"Biography,Drama,Music",6.9,19024,30000000,30569935,33339868,3339868,0.11132893333333334
Forever My Girl,108.0,"Drama,Music,Romance",6.7,10316,3500000,16376066,16376066,12876066,3.678876
Whiplash,106.0,"Drama,Music",8.5,616916,3300000,13092006,38969037,35669037,10.80879909090909
Green Room,95.0,"Horror,Music,Thriller",7.0,90773,5000000,3220371,3807503,-1192497,-0.2384994
Sparkle,116.0,"Drama,Music",5.7,5643,10000000,24397469,24660323,14660323,1.4660323
Beauty and the Beast,129.0,"Family,Fantasy,Musical",7.2,238325,160000000,504014165,1259199706,1099199706,6.8699981625
Inside Llewyn Davis,104.0,"Drama,Music",7.5,123759,11000000,13248209,32943247,21943247,1.9948406363636364
Burlesque,119.0,"Drama,Music,Musical",6.4,71021,55000000,39440655,90552675,35552675,0.6464122727272728
Step Up 3D,107.0,"Drama,Music,Romance",6.2,53081,30000000,42400223,165889117,135889117,4.529637233333333
Metallica Through the Never,93.0,Music,7.2,15592,18000000,3419967,9082906,-8917094,-0.4953941111111111
Youth,124.0,"Comedy,Drama,Music",7.3,64418,13000000,2703296,24001573,11001573,0.8462748461538462
Popstar: Never Stop Never Stopping,87.0,"Comedy,Music",6.7,47278,20000000,9496130,9537120,-10462880,-0.523144
Begin Again,104.0,"Comedy,Drama,Music",7.4,129884,8000000,16170632,68838736,60838736,7.604842
ABCD (Any Body Can Dance),160.0,"Drama,Music",6.4,5695,1900000,222098,10137234,8237234,4.335386315789473
Glee: The 3D Concert Movie,84.0,"Documentary,Music",5.4,5449,9000000,11862398,17462398,8462398,0.9402664444444444
Magic Mike XXL,115.0,"Comedy,Drama,Music",5.6,48497,14500000,66013057,123660597,109160597,7.528317034482758
Rock the Kasbah,106.0,"Comedy,Music,War",5.5,9587,15000000,3020665,3386153,-11613847,-0.7742564666666667
Ricki and the Flash,101.0,"Comedy,Drama,Music",5.9,20932,18000000,26839498,41166033,23166033,1.2870018333333333
Justin Bieber: Never Say Never,105.0,"Documentary,Music",1.6,74978,13000000,73013910,99034125,86034125,6.618009615384615
Jersey Boys,134.0,"Biography,Drama,Music",6.8,30410,40000000,47047013,65282732,25282732,0.6320683
To Rome with Love,112.0,"Comedy,Music,Romance",6.3,79381,21500000,16684352,74326015,52826015,2.457023953488372
Hearts Beat Loud,97.0,"Comedy,Drama,Music",6.9,6543,2000000,2386254,2420962,420962,0.210481
Song One,86.0,"Drama,Music",5.8,8559,6000000,32251,437089,-5562911,-0.9271518333333333
Battle of the Year,110.0,"Drama,Music",5.1,8769,20000000,8888355,16723377,-3276623,-0.16383115
All Eyez on Me,139.0,"Biography,Drama,Music",5.8,18541,45000000,44922302,54876855,9876855,0.21948566666666666
Joyful Noise,118.0,"Comedy,Drama,Music",5.8,7575,27500000,30932113,31157914,3657914,0.13301505454545454
Samsara,102.0,"Documentary,Music",8.5,29725,4000000,2672413,5966671,1966671,0.49166775
Pitch Perfect,112.0,"Comedy,Music,Romance",7.2,256565,17000000,65001093,116044347,99044347,5.826138058823529
Rock of Ages,123.0,"Comedy,Drama,Musical",5.9,69910,70000000,38518613,61031932,-8968068,-0.12811525714285715
Bohemian Rhapsody,134.0,"Biography,Drama,Music",8.0,345466,55000000,216303339,894985342,839985342,15.272460763636364
Country Strong,117.0,"Drama,Music",6.3,16296,15000000,20218921,20601987,5601987,0.3734658
We Are Your Friends,96.0,"Drama,Music,Romance",6.2,32327,2000000,3591417,10153415,8153415,4.0767075
Pitch Perfect 3,93.0,"Comedy,Music",5.8,45127,45000000,104897530,185736412,140736412,3.1274758222222223
Rudderless,105.0,"Comedy,Drama,Music",7.5,16303,5000000,56001,567219,-4432781,-0.8865562
Beyond the Lights,116.0,"Drama,Music,Romance",6.9,14122,7000000,14618727,14618727,7618727,1.0883895714285714
