movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Shanghai,105.0,"Crime,Drama,Mystery",6.4,8662,50000000,46425,15505922,-34494078,-0.68988156
Shanghai,120.0,"Crime,Mystery,Thriller",7.2,9047,50000000,46425,15505922,-34494078,-0.68988156
The Commuter,105.0,"Action,Mystery,Thriller",6.3,83114,40000000,36343858,101985431,61985431,1.549635775
Anna,99.0,"Drama,Mystery,Sci-Fi",6.5,19733,4357373,0,1200000,-3157373,-0.7246047102233387
Incendies,131.0,"Drama,Mystery,War",8.3,124156,6800000,6857096,16038343,9238343,1.3585798529411766
The Raven,110.0,"Crime,Mystery,Thriller",6.4,79578,26000000,16008272,30601801,4601801,0.17699234615384615
10 Cloverfield Lane,103.0,"Drama,Horror,Mystery",7.2,260383,5000000,72082999,108286422,103286422,20.6572844
Escape Plan,115.0,"Action,Crime,Mystery",6.7,211587,70000000,25135965,103735965,33735965,0.48194235714285716
Shutter Island,138.0,"Mystery,Thriller",8.1,1005960,80000000,128012934,299461782,219461782,2.743272275
Ouija,89.0,"Horror,Mystery,Thriller",4.5,44054,5000000,50856010,103300632,98300632,19.6601264
Oldboy,104.0,"Action,Drama,Mystery",5.8,63231,3000000,707391,6239723,3239723,1.0799076666666667
Rings,102.0,"Drama,Horror,Mystery",4.5,34151,25000000,27793018,82917283,57917283,2.31669132
Devil,80.0,"Horror,Mystery,Thriller",6.2,122080,10000000,33679655,63354114,53354114,5.3354114
Total Recall,118.0,"Action,Adventure,Mystery",6.3,228460,125000000,58877969,211856088,86856088,0.694848704
Super 8,112.0,"Mystery,Sci-Fi,Thriller",7.0,320575,50000000,127004179,257972745,207972745,4.1594549
The Ghost Writer,128.0,"Drama,Mystery,Thriller",7.2,148274,45000000,15541549,65532491,20532491,0.4562775777777778
Limitless,105.0,"Mystery,Sci-Fi,Thriller",7.4,492490,27000000,79249455,155564919,128564919,4.761663666666666
Unknown,113.0,"Action,Mystery,Thriller",6.9,235167,40000000,63686397,136123083,96123083,2.403077075
Buried,95.0,"Drama,Mystery,Thriller",7.0,139426,1987650,1044143,21270290,19282640,9.701225064774986
Lights Out,81.0,"Drama,Horror,Mystery",6.3,100650,5000000,67268835,148806510,143806510,28.761302
Paranormal Activity 3,83.0,"Horror,Mystery,Thriller",5.8,85689,5000000,104028807,207039844,202039844,40.4079688
It Comes at Night,91.0,"Horror,Mystery",6.2,69039,5000000,13985117,19720203,14720203,2.9440406
My Soul to Take,107.0,"Horror,Mystery,Thriller",4.8,18381,25000000,14744435,16727470,-8272530,-0.3309012
Salt,100.0,"Action,Mystery,Thriller",6.4,277204,130000000,118311368,290650494,160650494,1.2357730307692307
Chernobyl Diaries,86.0,"Horror,Mystery,Thriller",5.0,60304,1000000,18119640,42411721,41411721,41.411721
The Thing,103.0,"Horror,Mystery,Sci-Fi",6.2,111900,38000000,16999934,27573078,-10426922,-0.2743926842105263
Exeter,91.0,"Horror,Mystery,Thriller",4.5,5156,25000,0,489792,464792,18.59168
Lost River,95.0,"Drama,Fantasy,Mystery",5.8,15667,2000000,45431,2009644,9644,0.004822
The Girl on the Train,112.0,"Crime,Drama,Mystery",6.5,150977,45000000,75395035,174278214,129278214,2.8728492
Serenity,106.0,"Drama,Mystery,Sci-Fi",5.3,17904,39000000,25514517,40319440,1319440,0.03383179487179487
Before I Go to Sleep,92.0,"Drama,Horror,Mystery",6.3,64684,22000000,3242457,19563579,-2436421,-0.11074640909090909
Martha Marcy May Marlene,102.0,"Drama,Mystery,Thriller",6.9,45873,1000000,2981038,5438911,4438911,4.438911
The Boy,97.0,"Horror,Mystery,Thriller",6.0,68957,10000000,35819556,68220952,58220952,5.8220952
Abduction,106.0,"Action,Mystery,Thriller",5.1,72552,35000000,28087155,86648359,51648359,1.4756674
Apollo 18,86.0,"Horror,Mystery,Sci-Fi",5.2,51427,5000000,17686929,26517819,21517819,4.3035638
Divergent,139.0,"Action,Adventure,Mystery",6.7,399703,85000000,150947895,276014965,191014965,2.247234882352941
The Wall,108.0,"Drama,Fantasy,Mystery",6.8,5484,3000000,1803064,4495262,1495262,0.4984206666666667
Hereditary,127.0,"Drama,Horror,Mystery",7.3,151571,10000000,44069456,70133905,60133905,6.0133905
Dream House,84.0,"Drama,Mystery,Thriller",6.0,59714,50000000,21302340,41642166,-8357834,-0.16715668
While We're Young,97.0,"Comedy,Drama,Mystery",6.3,41327,10000000,7582065,17503828,7503828,0.7503828
Side Effects,106.0,"Crime,Drama,Mystery",7.1,168466,30000000,32172757,66742138,36742138,1.2247379333333333
Regression,106.0,"Crime,Horror,Mystery",5.7,33335,20000000,55039,15824374,-4175626,-0.2087813
Housebound,107.0,"Comedy,Horror,Mystery",6.8,29757,1500000,0,236863,-1263137,-0.8420913333333333
Evolution,81.0,"Drama,Mystery,Sci-Fi",6.0,5266,80000000,38311134,98341932,18341932,0.22927415
The Possession of Hannah Grace,86.0,"Horror,Mystery,Thriller",5.2,11629,6000000,14836174,42785387,36785387,6.130897833333333
Tinker Tailor Soldier Spy,122.0,"Drama,Mystery,Thriller",7.1,174890,21000000,24149393,81452811,60452811,2.8787052857142856
Cloud Atlas,172.0,"Action,Drama,Mystery",7.4,326473,102000000,27108272,130673154,28673154,0.28110935294117645
Red Riding Hood,100.0,"Fantasy,Horror,Mystery",5.5,102369,42000000,37662162,91678442,49678442,1.1828200476190476
Absentia,87.0,"Drama,Horror,Mystery",5.8,15507,70000,0,8555,-61445,-0.8777857142857143
Secret in Their Eyes,111.0,"Crime,Drama,Mystery",6.3,37455,20000000,20180155,32608019,12608019,0.63040095
Velvet Buzzsaw,113.0,"Horror,Mystery,Thriller",5.7,40213,21000000,0,0,-21000000,-1.0
Sound of My Voice,85.0,"Drama,Mystery,Sci-Fi",6.6,19387,135000,408015,429448,294448,2.181096296296296
