movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Hereafter,129.0,"Drama,Fantasy,Romance",6.5,87288,50000000,32746941,108660270,58660270,1.1732054
Aloha,105.0,"Comedy,Drama,Romance",5.4,54646,37000000,21052030,25387091,-11612909,-0.3138624054054054
Sex and the City 2,146.0,"Comedy,Drama,Romance",4.4,69199,95000000,95347692,294680778,199680778,2.1019029263157893
Going the Distance,102.0,"Comedy,Romance",6.3,54421,32000000,17804299,43603990,11603990,0.3626246875
Remember Me,113.0,"Drama,Romance",7.1,129443,16000000,19068240,56506120,40506120,2.5316325
Another Earth,92.0,"Drama,Romance,Sci-Fi",7.0,85839,175000,1321194,2102779,1927779,11.01588
The Spectacular Now,95.0,"Comedy,Drama,Romance",7.1,133887,2500000,6852971,6916951,4416951,1.7667804
Eat Pray Love,133.0,"Drama,Romance",5.8,77709,60000000,80574010,206598789,146598789,2.44331315
The Bounty Hunter,110.0,"Action,Comedy,Romance",5.6,112444,45000000,67061228,135808837,90808837,2.0179741555555557
Never Let Me Go,103.0,"Drama,Romance,Sci-Fi",7.1,130084,15000000,2434652,11173718,-3826282,-0.25508546666666665
You Again,105.0,"Comedy,Family,Romance",5.8,46690,20000000,25702053,32838945,12838945,0.64194725
Beautiful Creatures,124.0,"Drama,Fantasy,Romance",6.2,79764,50000000,19452138,60282876,10282876,0.20565752
Blue Valentine,112.0,"Drama,Romance",7.4,170089,1000000,9737892,16566240,15566240,15.56624
One Day,107.0,"Drama,Romance",7.0,128094,15000000,13843771,59168692,44168692,2.9445794666666667
Tiny Furniture,98.0,"Comedy,Drama,Romance",6.2,13397,50000,391674,424149,374149,7.48298
Larry Crowne,98.0,"Comedy,Drama,Romance",6.1,58927,30000000,35608245,61449135,31449135,1.0483045
A Few Best Men,97.0,"Comedy,Romance",5.7,12069,15000000,0,17224539,2224539,0.1483026
The First Time,95.0,"Comedy,Drama,Romance",6.9,62589,2000000,17061,17061,-1982939,-0.9914695
The Big Wedding,89.0,"Comedy,Drama,Romance",5.6,44221,32500000,21819348,48425971,15925971,0.4900298769230769
Grace of Monaco,103.0,"Biography,Drama,Romance",5.7,16685,30000000,0,25199891,-4800109,-0.16000363333333334
You Will Meet a Tall Dark Stranger,98.0,"Comedy,Drama,Romance",6.3,41608,15000000,3247816,34247816,19247816,1.2831877333333332
Kites,123.0,"Action,Drama,Romance",6.1,11353,9200000,1685269,17155193,7955193,0.8646948913043478
Submarine,97.0,"Comedy,Drama,Romance",7.3,79810,1900000,467602,4581937,2681937,1.4115457894736843
Before We Go,95.0,"Comedy,Drama,Romance",6.8,45181,3000000,37151,483938,-2516062,-0.8386873333333333
Damsels in Distress,99.0,"Comedy,Drama,Romance",5.7,8794,3000000,1007535,1324299,-1675701,-0.558567
Cyrus,91.0,"Comedy,Drama,Romance",6.3,32457,7000000,7468936,10062896,3062896,0.4375565714285714
Upside Down,109.0,"Drama,Fantasy,Romance",6.4,66347,50000000,102118,26387039,-23612961,-0.47225922
MacGruber,90.0,"Action,Comedy,Romance",5.5,39782,10000000,8525600,8629895,-1370105,-0.1370105
Warm Bodies,98.0,"Comedy,Horror,Romance",6.9,208709,30000000,66380662,115121608,85121608,2.8373869333333332
Anna Karenina,129.0,"Drama,Romance",6.6,84668,49000000,12816367,71004627,22004627,0.44907402040816324
The Last Song,107.0,"Drama,Music,Romance",6.0,74914,20000000,62950384,92678948,72678948,3.6339474
The Great Gatsby,143.0,"Drama,Romance",7.3,433165,190000000,144840419,351040419,161040419,0.847581152631579
After,105.0,"Drama,Romance",5.6,7699,650000,0,0,-650000,-1.0
The Back-up Plan,104.0,"Comedy,Romance",5.4,46128,35000000,37490007,75281179,40281179,1.1508908285714285
The Vow,104.0,"Drama,Romance",6.8,173629,30000000,125014030,197618160,167618160,5.587272
By the Sea,122.0,"Drama,Romance",5.3,16206,20000000,538460,3727746,-16272254,-0.8136127
Home Again,97.0,"Comedy,Drama,Romance",5.8,22614,15000000,27020284,37336874,22336874,1.4891249333333334
The Kids Are All Right,106.0,"Comedy,Drama,Romance",7.0,120656,4000000,20811365,36275469,32275469,8.06886725
The Fault in Our Stars,126.0,"Drama,Romance",7.7,315135,12000000,124872350,307166834,295166834,24.597236166666665
Obvious Child,84.0,"Comedy,Drama,Romance",6.8,21536,1000000,3122616,3324070,2324070,2.32407
My Big Fat Greek Wedding 2,94.0,"Comedy,Romance",6.0,25933,18000000,59689605,92096558,74096558,4.116475444444444
Five Feet Apart,116.0,"Drama,Romance",7.2,10645,7000000,45729221,80504421,73504421,10.500631571428572
The Railway Man,116.0,"Biography,Drama,Romance",7.1,34586,18000000,4438438,23910210,5910210,0.328345
Two Night Stand,86.0,"Comedy,Romance",6.4,60510,1600000,15600,868081,-731919,-0.457449375
Dear White People,108.0,"Comedy,Drama,Romance",6.1,23321,1250000,4404154,5403771,4153771,3.3230168
Love the Coopers,107.0,"Comedy,Fantasy,Romance",5.8,18018,18000000,26302731,42227490,24227490,1.3459716666666666
Endless Love,104.0,"Drama,Romance",6.3,37869,20000000,23438250,34718173,14718173,0.73590865
Carol,118.0,"Drama,Romance",7.2,100680,11800000,12711491,42843521,31043521,2.6308068644067797
Collateral Beauty,97.0,"Drama,Romance",6.8,78764,36000000,31016021,85309093,49309093,1.3696970277777778
Leap Year,100.0,"Comedy,Romance",6.5,86125,19000000,25918920,32618920,13618920,0.7167852631578947
Easy A,92.0,"Comedy,Drama,Romance",7.1,330125,8000000,58401464,76200721,68200721,8.525090125
Bridesmaids,125.0,"Comedy,Romance",6.8,249501,32500000,169211718,289632023,257132023,7.911754553846154
Playing for Keeps,105.0,"Comedy,Romance,Sport",5.7,27389,35000000,2000000,2000000,-33000000,-0.9428571428571428
Midnight in Paris,94.0,"Comedy,Fantasy,Romance",7.7,356500,30000000,56816662,162502774,132502774,4.416759133333334
Tulip Fever,105.0,"Drama,History,Romance",6.2,15037,25000000,2455635,6792768,-18207232,-0.72828928
Womb,111.0,"Drama,Romance,Sci-Fi",6.4,12489,13000000,0,0,-13000000,-1.0
Think Like a Man,122.0,"Comedy,Romance",6.6,41043,12000000,91547205,113373764,101373764,8.447813666666667
Like Crazy,86.0,"Drama,Romance",6.7,55841,250000,3395391,3728400,3478400,13.9136
Step Up Revolution,99.0,"Drama,Music,Romance",6.5,51295,33000000,35074677,165552290,132552290,4.0167360606060605
Admission,107.0,"Comedy,Drama,Romance",5.7,31849,13000000,18007317,18733666,5733666,0.44105123076923075
The Space Between Us,120.0,"Adventure,Drama,Romance",6.4,41031,30000000,7885294,16481405,-13518595,-0.45061983333333333
Fruitvale Station,85.0,"Biography,Drama,Romance",7.5,68187,900000,16098998,17549645,16649645,18.499605555555554
