movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Another Earth,92.0,"Drama,Romance,Sci-Fi",7.0,85839,175000,1321194,2102779,1927779,11.01588
Iron Man 2,124.0,"Action,Adventure,Sci-Fi",7.0,657690,170000000,312433331,621156389,451156389,2.653861111764706
The Last Days on Mars,98.0,"Adventure,Horror,Sci-Fi",5.5,33137,10600000,24084,261364,-10338636,-0.9753430188679245
Anna,99.0,"Drama,Mystery,Sci-Fi",6.5,19733,4357373,0,1200000,-3157373,-0.7246047102233387
Resident Evil: Retribution,95.0,"Action,Horror,Sci-Fi",5.4,125191,65000000,42345531,240647629,175647629,2.7022712153846156
Never Let Me Go,103.0,"Drama,Romance,Sci-Fi",7.1,130084,15000000,2434652,11173718,-3826282,-0.25508546666666665
The Divide,112.0,"Drama,Horror,Sci-Fi",5.8,33603,3000000,18000,156362,-2843638,-0.9478793333333333
Venom,112.0,"Action,Sci-Fi,Thriller",6.7,275406,116000000,213511408,853628605,737628605,6.358867284482758
The Amazing Spider-Man,136.0,"Action,Adventure,Sci-Fi",7.0,525632,220000000,262030663,757890267,537890267,2.444955759090909
Ghost in the Shell,107.0,"Action,Drama,Sci-Fi",6.4,176499,110000000,40563557,167910690,57910690,0.5264608181818182
Mad Max: Fury Road,120.0,"Action,Adventure,Sci-Fi",8.1,780910,150000000,153636354,370098020,220098020,1.4673201333333334
Stake Land,98.0,"Drama,Horror,Sci-Fi",6.5,38749,4000000,33245,679482,-3320518,-0.8301295
Grabbers,94.0,"Comedy,Horror,Sci-Fi",6.3,15727,5300000,0,440821,-4859179,-0.9168262264150944
Paul,104.0,"Adventure,Comedy,Sci-Fi",7.0,220567,40000000,37412945,101162106,61162106,1.52905265
Attack the Block,88.0,"Action,Comedy,Sci-Fi",6.7,93868,13000000,1024175,6459183,-6540817,-0.5031397692307692
Beyond the Black Rainbow,110.0,"Horror,Sci-Fi,Thriller",6.0,10765,1100000,56491,56491,-1043509,-0.9486445454545455
Dark Phoenix,113.0,"Action,Adventure,Sci-Fi",6.0,24451,350000000,42762350,149762350,-200237650,-0.5721075714285714
Super 8,112.0,"Mystery,Sci-Fi,Thriller",7.0,320575,50000000,127004179,257972745,207972745,4.1594549
Pacific Rim,131.0,"Action,Adventure,Sci-Fi",6.9,443667,190000000,101802906,411002906,221002906,1.1631731894736843
X-Men: Days of Future Past,132.0,"Action,Adventure,Sci-Fi",8.0,620079,200000000,233921534,747862775,547862775,2.739313875
Jurassic World,124.0,"Action,Adventure,Sci-Fi",7.0,539338,215000000,652270625,1648854864,1433854864,6.669092390697674
John Carter,132.0,"Action,Adventure,Sci-Fi",6.6,241792,275000000,73058679,282778100,7778100,0.028284
Limitless,105.0,"Mystery,Sci-Fi,Thriller",7.4,492490,27000000,79249455,155564919,128564919,4.761663666666666
Dredd,95.0,"Action,Crime,Sci-Fi",7.1,234616,45000000,13414714,41467606,-3532394,-0.07849764444444444
Melancholia,135.0,"Drama,Sci-Fi",7.2,153434,9400000,3030848,21817298,12417298,1.3209891489361703
The Purge: Election Year,108.0,"Action,Horror,Sci-Fi",6.0,80254,10000000,79042440,118514727,108514727,10.8514727
Jurassic World: Fallen Kingdom,128.0,"Action,Adventure,Sci-Fi",6.2,219125,170000000,417719760,1305772799,1135772799,6.681016464705882
Downsizing,135.0,"Drama,Sci-Fi",5.7,74815,68000000,24449754,54462971,-13537029,-0.19907395588235294
Black Panther,134.0,"Action,Adventure,Sci-Fi",7.3,516148,200000000,700059566,1348258224,1148258224,5.74129112
Alita: Battle Angel,122.0,"Action,Adventure,Sci-Fi",7.5,88207,170000000,85710210,402976036,232976036,1.3704472705882353
