movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Moneyball,133.0,"Biography,Drama,Sport",7.6,326657,50000000,75605492,111300835,61300835,1.2260167
Chasing Mavericks,116.0,"Biography,Drama,Sport",7.2,28994,20000000,6002756,8300821,-11699179,-0.58495895
42,128.0,"Biography,Drama,Sport",7.5,77703,31000000,95020213,97470701,66470701,2.1442161612903226
Unbroken,137.0,"Biography,Drama,Sport",7.2,129981,65000000,115637895,163527824,98527824,1.5158126769230769
Uncle Drew,103.0,"Comedy,Sport",5.7,9739,18000000,42469946,46527161,28527161,1.5848422777777778
The Fighter,116.0,"Biography,Drama,Sport",7.8,316539,11000000,93617009,129262388,118262388,10.751126181818181
Creed II,130.0,"Drama,Sport",7.2,72503,50000000,115715889,213591522,163591522,3.27183044
Icarus,120.0,"Documentary,Sport,Thriller",7.9,28979,6000000,0,0,-6000000,-1.0
My All-American,118.0,"Biography,Drama,Sport",7.2,5058,20000000,2246000,2246000,-17754000,-0.8877
Playing for Keeps,105.0,"Comedy,Romance,Sport",5.7,27389,35000000,2000000,2000000,-33000000,-0.9428571428571428
Frozen,93.0,"Adventure,Drama,Sport",6.2,62311,150000000,400738009,1272469910,1122469910,7.483132733333333
Here Comes the Boom,105.0,"Action,Comedy,Sport",6.4,81761,42000000,45290318,73239258,31239258,0.7437918571428571
Point Break,114.0,"Action,Crime,Sport",5.3,53802,100000000,28782481,126704591,26704591,0.26704591
Warrior,140.0,"Drama,Sport",8.2,403755,25000000,13657115,24215385,-784615,-0.0313846
Just Wright,100.0,"Comedy,Romance,Sport",5.9,12466,12000000,21540363,21867665,9867665,0.8223054166666667
Southpaw,124.0,"Drama,Sport",7.4,199783,30000000,52421953,94156456,64156456,2.138548533333333
Draft Day,110.0,"Drama,Sport",6.8,48812,25000000,28842237,29847480,4847480,0.1938992
Concussion,123.0,"Biography,Drama,Sport",7.1,77576,35000000,34531832,50363790,15363790,0.43896542857142856
Trouble with the Curve,111.0,"Drama,Sport",6.8,56129,60000000,35763137,47818913,-12181087,-0.20301811666666666
Grudge Match,113.0,"Comedy,Drama,Sport",6.4,54080,40000000,29807260,69807260,29807260,0.7451815
Sultan,170.0,"Action,Drama,Sport",7.1,33371,11000000,5599781,72989781,61989781,5.6354346363636365
"McFarland, USA",129.0,"Biography,Drama,Sport",7.4,31735,17000000,44480275,45707924,28707924,1.688701411764706
When the Game Stands Tall,115.0,"Drama,Family,Sport",6.7,14498,15000000,30127963,30138912,15138912,1.0092608
The Bronze,100.0,"Comedy,Drama,Sport",6.0,9043,3500000,615816,615816,-2884184,-0.8240525714285715
Queen of Katwe,124.0,"Biography,Drama,Sport",7.4,13039,15000000,8874389,10055481,-4944519,-0.3296346
Bleed for This,117.0,"Biography,Drama,Sport",6.8,21946,16000000,5083906,6603926,-9396074,-0.587254625
Woodlawn,123.0,"Drama,Sport",6.5,6070,13000000,14394097,14403703,1403703,0.10797715384615385
Race,134.0,"Biography,Drama,Sport",7.1,30777,5000000,19115191,23745772,18745772,3.7491544
Million Dollar Arm,124.0,"Biography,Drama,Sport",7.0,41008,25000000,36447959,39217912,14217912,0.56871648
Brothers,156.0,"Action,Drama,Sport",6.7,10689,26000000,28544157,45043870,19043870,0.7324565384615385
Creed,133.0,"Drama,Sport",7.6,224671,37000000,109767581,173567581,136567581,3.691015702702703
