movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Don't Be Afraid of the Dark,99.0,"Fantasy,Horror,Thriller",5.6,44490,25000000,24046682,39126427,14126427,0.56505708
Captain Phillips,134.0,"Biography,Drama,Thriller",7.8,387402,55000000,107136417,220648184,165648184,3.0117851636363637
House at the End of the Street,101.0,"Drama,Horror,Thriller",5.6,66303,6900000,31611916,44103982,37203982,5.391881449275362
Machete,105.0,"Action,Crime,Thriller",6.6,182320,12500000,26593646,46370970,33870970,2.7096776
Shanghai,120.0,"Crime,Mystery,Thriller",7.2,9047,50000000,46425,15505922,-34494078,-0.68988156
The Commuter,105.0,"Action,Mystery,Thriller",6.3,83114,40000000,36343858,101985431,61985431,1.549635775
The Lords of Salem,101.0,"Horror,Thriller",5.1,25089,1500000,1165881,1541131,41131,0.027420666666666666
The Expendables,103.0,"Action,Adventure,Thriller",6.5,307897,82000000,103068524,268268174,186268174,2.2715630975609757
The Raven,110.0,"Crime,Mystery,Thriller",6.4,79578,26000000,16008272,30601801,4601801,0.17699234615384615
Venom,112.0,"Action,Sci-Fi,Thriller",6.7,275406,116000000,213511408,853628605,737628605,6.358867284482758
Demonic,83.0,"Horror,Thriller",5.3,12025,3000000,0,4668109,1668109,0.5560363333333334
Jack Reacher,130.0,"Action,Crime,Thriller",7.0,284547,60000000,80070736,217370736,157370736,2.6228456
The Purge,85.0,"Horror,Thriller",5.7,183549,3000000,64473115,91266581,88266581,29.422193666666665
The Equalizer 2,121.0,"Action,Crime,Thriller",6.7,97963,77000000,102084362,190453132,113453132,1.4734172987012988
Shutter Island,138.0,"Mystery,Thriller",8.1,1005960,80000000,128012934,299461782,219461782,2.743272275
Ouija,89.0,"Horror,Mystery,Thriller",4.5,44054,5000000,50856010,103300632,98300632,19.6601264
Out of the Furnace,116.0,"Crime,Drama,Thriller",6.8,99037,22000000,11330849,15434375,-6565625,-0.2984375
The Devil's Double,109.0,"Biography,Drama,Thriller",7.1,58342,19100000,1361512,5965646,-13134354,-0.6876625130890053
A Lonely Place to Die,99.0,"Adventure,Crime,Thriller",6.3,25547,4000000,0,442550,-3557450,-0.8893625
Truth or Dare,100.0,"Horror,Thriller",5.2,33621,3500000,41411015,95127344,91627344,26.179241142857144
Devil,80.0,"Horror,Mystery,Thriller",6.2,122080,10000000,33679655,63354114,53354114,5.3354114
Drive Angry,104.0,"Action,Fantasy,Thriller",5.4,90203,50000000,10721033,41042583,-8957417,-0.17914834
Beyond the Black Rainbow,110.0,"Horror,Sci-Fi,Thriller",6.0,10765,1100000,56491,56491,-1043509,-0.9486445454545455
The Foreigner,113.0,"Action,Thriller",7.0,81288,35000000,34393507,140783360,105783360,3.0223817142857143
The Roommate,91.0,"Drama,Thriller",4.9,33062,16000000,37300107,52545707,36545707,2.2841066875
Super 8,112.0,"Mystery,Sci-Fi,Thriller",7.0,320575,50000000,127004179,257972745,207972745,4.1594549
The Ghost Writer,128.0,"Drama,Mystery,Thriller",7.2,148274,45000000,15541549,65532491,20532491,0.4562775777777778
The Bourne Legacy,135.0,"Action,Adventure,Thriller",6.7,268678,125000000,113203870,280355920,155355920,1.24284736
Limitless,105.0,"Mystery,Sci-Fi,Thriller",7.4,492490,27000000,79249455,155564919,128564919,4.761663666666666
Broken City,109.0,"Crime,Drama,Thriller",6.2,71704,35000000,19701164,34480045,-519955,-0.014855857142857143
Bullet to the Head,92.0,"Action,Crime,Thriller",5.7,44816,55000000,9489829,22597969,-32402031,-0.5891278363636364
Unknown,113.0,"Action,Mystery,Thriller",6.9,235167,40000000,63686397,136123083,96123083,2.403077075
The Apparition,83.0,"Horror,Thriller",4.1,18112,17000000,4936819,10637281,-6362719,-0.3742775882352941
Buried,95.0,"Drama,Mystery,Thriller",7.0,139426,1987650,1044143,21270290,19282640,9.701225064774986
Texas Chainsaw 3D,92.0,"Horror,Thriller",4.8,41784,20000000,34341945,47666013,27666013,1.38330065
The 15:17 to Paris,94.0,"Biography,Drama,Thriller",5.2,21880,30000000,36276286,56096200,26096200,0.8698733333333334
The Dark Knight Rises,164.0,"Action,Thriller",8.4,1387769,275000000,448139099,1084439099,809439099,2.9434149054545453
Paranoia,106.0,"Drama,Thriller",5.7,33149,40000000,7388654,16340767,-23659233,-0.591480825
Haywire,93.0,"Action,Drama,Thriller",5.8,78681,23000000,18942396,36374700,13374700,0.5815086956521739
The Hit List,90.0,"Action,Thriller",5.4,11081,6000000,0,0,-6000000,-1.0
Paranormal Activity 3,83.0,"Horror,Mystery,Thriller",5.8,85689,5000000,104028807,207039844,202039844,40.4079688
Icarus,120.0,"Documentary,Sport,Thriller",7.9,28979,6000000,0,0,-6000000,-1.0
Unstoppable,98.0,"Action,Thriller",6.8,173019,95000000,81562942,165720921,70720921,0.7444307473684211
My Soul to Take,107.0,"Horror,Mystery,Thriller",4.8,18381,25000000,14744435,16727470,-8272530,-0.3309012
