movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
Incendies,131.0,"Drama,Mystery,War",8.3,124156,6800000,6857096,16038343,9238343,1.3585798529411766
The Gatekeepers,101.0,"Documentary,History,War",7.6,5214,1500000,2408553,2592308,1092308,0.7282053333333334
Fury,134.0,"Action,Drama,War",7.6,381993,80000000,85817906,210315681,130315681,1.6289460125
300: Rise of an Empire,102.0,"Action,Fantasy,War",6.2,262978,110000000,106580051,330780051,220780051,2.0070913727272726
Little Boy,106.0,"Drama,History,War",7.4,20945,20000000,6485961,17769299,-2230701,-0.11153505
Beneath Hill 60,122.0,"Drama,History,War",7.1,6903,9000000,0,3440939,-5559061,-0.6176734444444445
The Water Diviner,111.0,"Drama,History,War",7.1,66595,22500000,4200117,31054727,8554727,0.3802100888888889
Eye in the Sky,102.0,"Drama,Thriller,War",7.3,72301,13000000,18704596,35402802,22402802,1.7232924615384615
Camp X-Ray,117.0,"Drama,War",6.9,36700,1000000,9837,101053,-898947,-0.898947
The Book Thief,131.0,"Drama,War",7.6,119023,19000000,21488481,76086711,57086711,3.004563736842105
Rock the Kasbah,106.0,"Comedy,Music,War",5.5,9587,15000000,3020665,3386153,-11613847,-0.7742564666666667
5 Days of War,113.0,"Action,Drama,War",5.6,13089,12000000,17479,87793,-11912207,-0.9926839166666667
Thank You for Your Service,109.0,"Biography,Drama,War",6.5,10006,20000000,9479390,9985316,-10014684,-0.5007342
Coriolanus,123.0,"Drama,Thriller,War",6.1,29654,10000000,749641,2179623,-7820377,-0.7820377
Dear John,108.0,"Drama,Romance,War",6.3,128657,25000000,80014842,142033509,117033509,4.68134036
War Horse,146.0,"Drama,History,War",7.2,136447,70000000,79883359,156815529,86815529,1.2402218428571428
