movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%
The Magnificent Seven,132.0,"Action,Adventure,Western",6.9,168514,90000000,93432655,162525156,72525156,0.8058350666666667
The Warrior's Way,100.0,"Action,Fantasy,Western",6.3,24271,42000000,5666340,8514325,-33485675,-0.7972779761904762
Meek's Cutoff,104.0,"Drama,Western",6.6,10439,2000000,977772,1869928,-130072,-0.065036
Blackthorn,102.0,"Action,Adventure,Western",6.6,8553,4500000,200558,1217307,-3282693,-0.7294873333333334
Django Unchained,165.0,"Drama,Western",8.4,1211405,100000000,162805434,449948323,349948323,3.49948323
Frontera,103.0,"Drama,Thriller,Western",6.6,6861,2300000,59696,59696,-2240304,-0.9740452173913043
The Lone Ranger,150.0,"Action,Adventure,Western",6.4,208827,275000000,89302115,260002115,-14997885,-0.05453776363636364
The Ridiculous 6,119.0,"Comedy,Western",4.8,38694,60000000,0,0,-60000000,-1.0
Forsaken,90.0,"Action,Drama,Western",6.3,9199,18000000,0,0,-18000000,-1.0
Jane Got a Gun,98.0,"Action,Drama,Western",5.9,19051,25000000,1513793,3771345,-21228655,-0.8491462
True Grit,110.0,"Adventure,Drama,Western",7.6,284034,35000000,171243005,252276928,217276928,6.207912228571429
The Homesman,122.0,"Drama,Western",6.6,27724,16000000,2429989,8217571,-7782429,-0.4864018125
Casa de mi Padre,84.0,"Comedy,Western",5.5,19170,6000000,5909483,8446952,2446952,0.4078253333333333
