,movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%,movie_type
10,The Adventurer: The Curse of the Midas Box,100.0,"Adventure,Family,Fantasy",5.4,5257,25000000,0,0,-25000000,-1.0,Light
47,The Croods,98.0,"Action,Adventure,Animation",7.2,176699,135000000,187168425,573068425,438068425,3.2449512962962963,Light
50,The Karate Kid,140.0,"Action,Drama,Family",6.2,146401,40000000,176591618,351774938,311774938,7.79437345,Light
52,Legend of the Guardians: The Owls of Ga'Hoole,97.0,"Action,Adventure,Animation",7.0,73790,100000000,55675313,139716717,39716717,0.39716717,Light
59,You Again,105.0,"Comedy,Family,Romance",5.8,46690,20000000,25702053,32838945,12838945,0.64194725,Light
80,Despicable Me,95.0,"Animation,Comedy,Family",7.7,464511,69000000,251513985,543464573,474464573,6.87629815942029,Light
88,Norm of the North,90.0,"Adventure,Animation,Comedy",3.6,7951,18000000,17062499,30535660,12535660,0.6964255555555555,Light
91,Trolls,92.0,"Adventure,Animation,Comedy",6.5,63295,125000000,153707064,344150134,219150134,1.753201072,Light
96,Furry Vengeance,92.0,"Comedy,Family",3.8,14700,35000000,17630465,39340177,4340177,0.12400505714285714,Light
99,The Hobbit: An Unexpected Journey,169.0,"Adventure,Family,Fantasy",7.9,719629,250000000,303003568,1017003568,767003568,3.068014272,Light
109,Night at the Museum: Secret of the Tomb,98.0,"Adventure,Comedy,Family",6.2,93103,127000000,113746621,353756621,226756621,1.7854852047244094,Light
119,Diary of a Wimpy Kid,94.0,"Comedy,Drama,Family",6.2,38640,15000000,64003625,76954311,61954311,4.1302874,Light
126,The Spy Next Door,94.0,"Action,Comedy,Family",5.5,36767,28000000,24307106,46752858,18752858,0.6697449285714285,Light
135,The Lego Movie,100.0,"Action,Adventure,Animation",7.8,304179,60000000,257784718,457729388,397729388,6.628823133333333,Light
141,The Kid Who Would Be King,120.0,"Action,Adventure,Family",6.0,8044,59000000,16790790,28348446,-30651554,-0.5195178644067796,Light
152,Mars Needs Moms,88.0,"Adventure,Animation,Family",5.4,19823,150000000,21392758,39549758,-110450242,-0.7363349466666667,Light
157,We Bought a Zoo,124.0,"Comedy,Drama,Family",7.1,126849,50000000,75624550,118729073,68729073,1.37458146,Light
162,Soul Surfer,112.0,"Biography,Drama,Family",7.1,41659,18000000,43853424,47158652,29158652,1.619925111111111,Light
182,Cars 3,102.0,"Adventure,Animation,Comedy",6.8,59408,175000000,152901115,383541369,208541369,1.1916649657142857,Light
185,Paddington,95.0,"Adventure,Comedy,Family",7.2,84679,55000000,76223578,258789097,203789097,3.705256309090909,Light
186,Brave,93.0,"Adventure,Animation,Comedy",7.1,338728,185000000,237282182,554606532,369606532,1.997873145945946,Light
193,Alvin and the Chipmunks: Chipwrecked,87.0,"Adventure,Animation,Comedy",4.4,28158,80000000,133107389,349088523,269088523,3.3636065375,Light
202,Fantastic Beasts: The Crimes of Grindelwald,134.0,"Adventure,Family,Fantasy",6.6,163151,200000000,159555901,652220086,452220086,2.26110043,Light
221,Happy Feet Two,100.0,"Adventure,Animation,Comedy",5.9,38396,135000000,64006466,157956466,22956466,0.1700478962962963,Light
229,Prom,104.0,"Comedy,Drama,Family",5.4,14279,8000000,10130219,10763183,2763183,0.345397875,Light
263,The Boss Baby,97.0,"Adventure,Animation,Comedy",6.3,93730,125000000,175003033,510878762,385878762,3.087030096,Light
267,Tangled,100.0,"Adventure,Animation,Comedy",7.8,366366,260000000,200821936,586477240,326477240,1.2556816923076923,Light
