,movie,runtime_minutes,genres,averagerating,numvotes,production_budget,domestic_gross,worldwide_gross,net_revenue,ROI%,movie_type
7,Don't Be Afraid of the Dark,99.0,"Fantasy,Horror,Thriller",5.6,44490,25000000,24046682,39126427,14126427,0.56505708,Dark
10,The Adventurer: The Curse of the Midas Box,100.0,"Adventure,Family,Fantasy",5.4,5257,25000000,0,0,-25000000,-1.0,Light
14,Captain Phillips,134.0,"Biography,Drama,Thriller",7.8,387402,55000000,107136417,220648184,165648184,3.0117851636363637,Dark
16,House at the End of the Street,101.0,"Drama,Horror,Thriller",5.6,66303,6900000,31611916,44103982,37203982,5.391881449275362,Dark
27,Machete,105.0,"Action,Crime,Thriller",6.6,182320,12500000,26593646,46370970,33870970,2.7096776,Dark
30,Nine Dead,98.0,"Crime,Drama,Horror",5.5,11358,2000000,0,0,-2000000,-1.0,Dark
31,Shanghai,105.0,"Crime,Drama,Mystery",6.4,8662,50000000,46425,15505922,-34494078,-0.68988156,Dark
32,Shanghai,120.0,"Crime,Mystery,Thriller",7.2,9047,50000000,46425,15505922,-34494078,-0.68988156,Dark
37,The Commuter,105.0,"Action,Mystery,Thriller",6.3,83114,40000000,36343858,101985431,61985431,1.549635775,Dark
39,Abraham Lincoln: Vampire Hunter,105.0,"Action,Fantasy,Horror",5.9,142853,67500000,37519139,137489730,69989730,1.0368848888888889,Dark
41,The Last Days on Mars,98.0,"Adventure,Horror,Sci-Fi",5.5,33137,10600000,24084,261364,-10338636,-0.9753430188679245,Dark
42,Anna,99.0,"Drama,Mystery,Sci-Fi",6.5,19733,4357373,0,1200000,-3157373,-0.7246047102233387,Dark
43,The Lords of Salem,101.0,"Horror,Thriller",5.1,25089,1500000,1165881,1541131,41131,0.027420666666666666,Dark
45,Resident Evil: Retribution,95.0,"Action,Horror,Sci-Fi",5.4,125191,65000000,42345531,240647629,175647629,2.7022712153846156,Dark
47,The Croods,98.0,"Action,Adventure,Animation",7.2,176699,135000000,187168425,573068425,438068425,3.2449512962962963,Light
50,The Karate Kid,140.0,"Action,Drama,Family",6.2,146401,40000000,176591618,351774938,311774938,7.79437345,Light
52,Legend of the Guardians: The Owls of Ga'Hoole,97.0,"Action,Adventure,Animation",7.0,73790,100000000,55675313,139716717,39716717,0.39716717,Light
54,Incendies,131.0,"Drama,Mystery,War",8.3,124156,6800000,6857096,16038343,9238343,1.3585798529411766,Dark
55,The Expendables,103.0,"Action,Adventure,Thriller",6.5,307897,82000000,103068524,268268174,186268174,2.2715630975609757,Dark
57,Pride and Prejudice and Zombies,108.0,"Action,Comedy,Horror",5.8,46187,28000000,10907291,16638300,-11361700,-0.405775,Dark
59,You Again,105.0,"Comedy,Family,Romance",5.8,46690,20000000,25702053,32838945,12838945,0.64194725,Light
60,The Raven,110.0,"Crime,Mystery,Thriller",6.4,79578,26000000,16008272,30601801,4601801,0.17699234615384615,Dark
62,The Divide,112.0,"Drama,Horror,Sci-Fi",5.8,33603,3000000,18000,156362,-2843638,-0.9478793333333333,Dark
69,A Nightmare on Elm Street,95.0,"Crime,Drama,Horror",5.2,85497,35000000,63075011,117729621,82729621,2.363703457142857,Dark
71,10 Cloverfield Lane,103.0,"Drama,Horror,Mystery",7.2,260383,5000000,72082999,108286422,103286422,20.6572844,Dark
72,Escape Plan,115.0,"Action,Crime,Mystery",6.7,211587,70000000,25135965,103735965,33735965,0.48194235714285716,Dark
76,Venom,112.0,"Action,Sci-Fi,Thriller",6.7,275406,116000000,213511408,853628605,737628605,6.358867284482758,Dark
78,The Watch,102.0,"Action,Comedy,Horror",5.7,115757,55000000,34353000,67130045,12130045,0.22054627272727273,Dark
80,Despicable Me,95.0,"Animation,Comedy,Family",7.7,464511,69000000,251513985,543464573,474464573,6.87629815942029,Light
88,Norm of the North,90.0,"Adventure,Animation,Comedy",3.6,7951,18000000,17062499,30535660,12535660,0.6964255555555555,Light
89,Rubber,82.0,"Comedy,Fantasy,Horror",5.8,31316,500000,100370,680914,180914,0.361828,Dark
91,Trolls,92.0,"Adventure,Animation,Comedy",6.5,63295,125000000,153707064,344150134,219150134,1.753201072,Light
94,Demonic,83.0,"Horror,Thriller",5.3,12025,3000000,0,4668109,1668109,0.5560363333333334,Dark
96,Furry Vengeance,92.0,"Comedy,Family",3.8,14700,35000000,17630465,39340177,4340177,0.12400505714285714,Light
97,Jack Reacher,130.0,"Action,Crime,Thriller",7.0,284547,60000000,80070736,217370736,157370736,2.6228456,Dark
99,The Hobbit: An Unexpected Journey,169.0,"Adventure,Family,Fantasy",7.9,719629,250000000,303003568,1017003568,767003568,3.068014272,Light
104,Hell Fest,89.0,Horror,5.5,8662,5500000,11107431,18119231,12619231,2.2944056363636363,Dark
106,The Purge,85.0,"Horror,Thriller",5.7,183549,3000000,64473115,91266581,88266581,29.422193666666665,Dark
109,Night at the Museum: Secret of the Tomb,98.0,"Adventure,Comedy,Family",6.2,93103,127000000,113746621,353756621,226756621,1.7854852047244094,Light
113,The Equalizer 2,121.0,"Action,Crime,Thriller",6.7,97963,77000000,102084362,190453132,113453132,1.4734172987012988,Dark
117,Shutter Island,138.0,"Mystery,Thriller",8.1,1005960,80000000,128012934,299461782,219461782,2.743272275,Dark
119,Diary of a Wimpy Kid,94.0,"Comedy,Drama,Family",6.2,38640,15000000,64003625,76954311,61954311,4.1302874,Light
121,Ouija,89.0,"Horror,Mystery,Thriller",4.5,44054,5000000,50856010,103300632,98300632,19.6601264,Dark
122,Out of the Furnace,116.0,"Crime,Drama,Thriller",6.8,99037,22000000,11330849,15434375,-6565625,-0.2984375,Dark
125,The Devil's Double,109.0,"Biography,Drama,Thriller",7.1,58342,19100000,1361512,5965646,-13134354,-0.6876625130890053,Dark
126,The Spy Next Door,94.0,"Action,Comedy,Family",5.5,36767,28000000,24307106,46752858,18752858,0.6697449285714285,Light
127,Oldboy,104.0,"Action,Drama,Mystery",5.8,63231,3000000,707391,6239723,3239723,1.0799076666666667,Dark
131,A Lonely Place to Die,99.0,"Adventure,Crime,Thriller",6.3,25547,4000000,0,442550,-3557450,-0.8893625,Dark
134,Stake Land,98.0,"Drama,Horror,Sci-Fi",6.5,38749,4000000,33245,679482,-3320518,-0.8301295,Dark
135,The Lego Movie,100.0,"Action,Adventure,Animation",7.8,304179,60000000,257784718,457729388,397729388,6.628823133333333,Light
136,Grabbers,94.0,"Comedy,Horror,Sci-Fi",6.3,15727,5300000,0,440821,-4859179,-0.9168262264150944,Dark
140,Truth or Dare,100.0,"Horror,Thriller",5.2,33621,3500000,41411015,95127344,91627344,26.179241142857144,Dark
141,The Kid Who Would Be King,120.0,"Action,Adventure,Family",6.0,8044,59000000,16790790,28348446,-30651554,-0.5195178644067796,Light
146,Rings,102.0,"Drama,Horror,Mystery",4.5,34151,25000000,27793018,82917283,57917283,2.31669132,Dark
152,Mars Needs Moms,88.0,"Adventure,Animation,Family",5.4,19823,150000000,21392758,39549758,-110450242,-0.7363349466666667,Light
153,Devil,80.0,"Horror,Mystery,Thriller",6.2,122080,10000000,33679655,63354114,53354114,5.3354114,Dark
155,Total Recall,118.0,"Action,Adventure,Mystery",6.3,228460,125000000,58877969,211856088,86856088,0.694848704,Dark
157,We Bought a Zoo,124.0,"Comedy,Drama,Family",7.1,126849,50000000,75624550,118729073,68729073,1.37458146,Light
160,Drive Angry,104.0,"Action,Fantasy,Thriller",5.4,90203,50000000,10721033,41042583,-8957417,-0.17914834,Dark
161,Beyond the Black Rainbow,110.0,"Horror,Sci-Fi,Thriller",6.0,10765,1100000,56491,56491,-1043509,-0.9486445454545455,Dark
162,Soul Surfer,112.0,"Biography,Drama,Family",7.1,41659,18000000,43853424,47158652,29158652,1.619925111111111,Light
163,The Foreigner,113.0,"Action,Thriller",7.0,81288,35000000,34393507,140783360,105783360,3.0223817142857143,Dark
166,Kill List,95.0,"Crime,Drama,Horror",6.4,32807,800000,29063,462206,-337794,-0.4222425,Dark
173,Carrie,100.0,"Drama,Horror",5.9,125424,30000000,35266619,82409520,52409520,1.746984,Dark
182,Cars 3,102.0,"Adventure,Animation,Comedy",6.8,59408,175000000,152901115,383541369,208541369,1.1916649657142857,Light
185,Paddington,95.0,"Adventure,Comedy,Family",7.2,84679,55000000,76223578,258789097,203789097,3.705256309090909,Light
186,Brave,93.0,"Adventure,Animation,Comedy",7.1,338728,185000000,237282182,554606532,369606532,1.997873145945946,Light
187,The Roommate,91.0,"Drama,Thriller",4.9,33062,16000000,37300107,52545707,36545707,2.2841066875,Dark
192,Warm Bodies,98.0,"Comedy,Horror,Romance",6.9,208709,30000000,66380662,115121608,85121608,2.8373869333333332,Dark
193,Alvin and the Chipmunks: Chipwrecked,87.0,"Adventure,Animation,Comedy",4.4,28158,80000000,133107389,349088523,269088523,3.3636065375,Light
195,Super 8,112.0,"Mystery,Sci-Fi,Thriller",7.0,320575,50000000,127004179,257972745,207972745,4.1594549,Dark
202,Fantastic Beasts: The Crimes of Grindelwald,134.0,"Adventure,Family,Fantasy",6.6,163151,200000000,159555901,652220086,452220086,2.26110043,Light
210,The Ghost Writer,128.0,"Drama,Mystery,Thriller",7.2,148274,45000000,15541549,65532491,20532491,0.4562775777777778,Dark
211,The Bourne Legacy,135.0,"Action,Adventure,Thriller",6.7,268678,125000000,113203870,280355920,155355920,1.24284736,Dark
212,Limitless,105.0,"Mystery,Sci-Fi,Thriller",7.4,492490,27000000,79249455,155564919,128564919,4.761663666666666,Dark
213,Broken City,109.0,"Crime,Drama,Thriller",6.2,71704,35000000,19701164,34480045,-519955,-0.014855857142857143,Dark
215,Bullet to the Head,92.0,"Action,Crime,Thriller",5.7,44816,55000000,9489829,22597969,-32402031,-0.5891278363636364,Dark
